date,kospi_adv,kospi_dec,kosdaq_adv,kosdaq_dec
2023-08-14,290,604,440,1095
2023-08-16,136,780,258,1294
2023-08-17,240,648,579,957
2023-08-18,360,523,562,959
2023-08-21,459,436,804,693
2023-08-22,376,499,566,946
2023-08-23,368,505,639,866
2023-08-24,540,324,1093,423
2023-08-25,368,491,552,958
2023-08-28,728,155,1076,436
2023-08-29,624,249,1143,373
2023-08-30,462,398,988,517
2023-08-31,356,516,586,925
2023-09-01,316,553,654,866
2023-09-04,431,436,622,906
2023-09-05,341,538,698,781
2023-09-06,290,591,634,881
2023-09-07,187,699,384,1149
2023-09-08,611,268,867,634
2023-09-11,508,359,797,719
2023-09-12,234,640,455,1072
2023-09-13,322,553,375,1157
2023-09-14,611,254,1039,470
2023-09-15,644,240,954,553
2023-09-18,330,551,479,1067
2023-09-19,303,580,373,1154
2023-09-20,353,521,489,1029
2023-09-21,117,800,173,1390
2023-09-22,289,596,505,1015
2023-09-25,223,664,303,1236
2023-09-26,151,741,335,1205
2023-09-27,631,249,1213,322
2023-10-04,77,835,165,1413
2023-10-05,298,585,483,1046
2023-10-06,655,221,1303,251
2023-10-10,262,628,306,1255
2023-10-11,714,180,1315,216
2023-10-12,679,203,1236,302
2023-10-13,280,594,390,1148
2023-10-16,252,645,288,1258
2023-10-17,583,283,1137,380
2023-10-18,392,478,399,1135
2023-10-19,95,812,157,1431
2023-10-20,135,761,278,1297
2023-10-23,285,596,466,1065
2023-10-24,634,249,1328,238
2023-10-25,615,270,797,730
2023-10-26,81,836,159,1418
2023-10-27,448,421,738,781
2023-10-30,595,283,1036,488
2023-10-31,252,644,317,1237
2023-11-01,639,253,1120,422
2023-11-02,696,208,1376,190
2023-11-03,720,161,1235,317
2023-11-06,744,153,1253,316
2023-11-07,245,637,428,1121
2023-11-08,381,500,715,818
2023-11-09,435,445,463,1073
2023-11-10,261,603,379,1179
2023-11-13,285,593,316,1235
2023-11-14,712,182,1265,300
2023-11-15,752,143,1268,294
2023-11-16,549,312,1029,516
2023-11-17,271,616,396,1158
2023-11-20,652,230,1183,366
2023-11-21,600,274,955,558
2023-11-22,432,422,639,871
2023-11-23,405,471,672,861
2023-11-24,455,415,779,731
2023-11-27,350,529,494,1085
2023-11-28,458,421,661,891
2023-11-29,274,601,568,967
2023-11-30,564,323,946,581
2023-12-01,387,492,685,858
2023-12-04,461,413,648,900
2023-12-05,359,518,387,1187
2023-12-06,502,373,1028,519
2023-12-07,355,529,488,1051
2023-12-08,542,340,1072,464
2023-12-11,482,376,910,635
2023-12-12,410,457,778,759
2023-12-13,272,599,411,1156
2023-12-14,467,419,827,704
2023-12-15,500,380,780,767
2023-12-18,453,432,941,585
2023-12-19,364,525,776,752
2023-12-20,685,205,948,587
2023-12-21,260,618,526,1030
2023-12-22,436,431,677,870
2023-12-26,380,494,474,1092
2023-12-27,302,593,901,675
2023-12-28,683,210,1127,432
2024-01-02,440,450,1152,417
2024-01-03,281,612,665,890
2024-01-04,279,616,469,1093
2024-01-05,343,519,835,699
2024-01-08,361,501,841,704
2024-01-09,574,290,1083,466
2024-01-10,337,540,522,1030
2024-01-11,438,442,926,608
2024-01-12,270,621,338,1235
2024-01-15,307,577,546,1010
2024-01-16,231,651,454,1103
2024-01-17,72,852,183,1408
2024-01-18,422,448,992,563
2024-01-19,521,347,1023,525
2024-01-22,296,579,756,791
2024-01-23,485,381,825,704
2024-01-24,272,612,549,1003
2024-01-25,425,447,378,1179
2024-01-26,552,313,994,556
2024-01-29,527,362,422,1136
2024-01-30,497,386,682,838
2024-01-31,353,527,334,1236
2024-02-01,670,242,649,890
2024-02-02,713,182,1183,386
2024-02-05,437,460,585,960
2024-02-06,265,616,551,1005
2024-02-07,644,241,712,810
2024-02-08,448,439,967,578
2024-02-13,599,287,1173,379
2024-02-14,381,509,1007,531
2024-02-15,333,541,775,733
2024-02-16,628,250,828,716
2024-02-19,619,263,843,707
2024-02-20,280,592,661,901
2024-02-21,317,554,519,1053
2024-02-22,351,510,701,855
2024-02-23,342,518,491,1074
2024-02-26,233,660,544,1012
2024-02-27,150,748,299,1292
2024-02-28,561,304,868,654
2024-02-29,343,548,524,1045
2024-03-04,438,445,759,804
2024-03-05,282,610,463,1121
2024-03-06,344,536,655,906
2024-03-07,299,593,457,1126
2024-03-08,523,352,879,675
2024-03-11,357,518,771,804
2024-03-12,368,496,734,818
2024-03-13,447,431,797,754
2024-03-14,511,367,635,918
2024-03-15,326,549,568,978
2024-03-18,434,442,873,672
2024-03-19,279,604,486,1067
2024-03-20,481,382,744,800
2024-03-21,655,219,974,567
2024-03-22,487,384,830,700
2024-03-25,339,529,699,854
2024-03-26,456,405,702,839
2024-03-27,368,502,639,900
2024-03-28,294,562,595,949
2024-03-29,273,605,600,953
2024-04-01,577,296,1110,456
2024-04-02,222,667,348,1232
2024-04-03,246,637,445,1114
2024-04-04,418,468,705,835
2024-04-05,247,635,457,1100
2024-04-08,278,593,359,1205
2024-04-09,371,492,671,852
2024-04-11,271,610,547,986
2024-04-12,371,509,794,736
2024-04-15,303,583,407,1148
2024-04-16,124,776,234,1341
2024-04-17,409,457,842,668
2024-04-18,770,127,1306,243
2024-04-19,240,632,356,1208
2024-04-22,662,228,850,690
2024-04-23,472,406,719,797
2024-04-24,612,273,1196,344
2024-04-25,361,491,504,1030
2024-04-26,461,409,737,778
2024-04-29,719,167,1153,360
2024-04-30,442,410,817,686
2024-05-02,359,516,811,715
2024-05-03,394,478,753,741
2024-05-07,585,286,920,602
2024-05-08,577,283,895,638
2024-05-09,355,536,540,990
2024-05-10,493,366,694,839
2024-05-13,381,485,487,1043
2024-05-14,527,344,1019,515
2024-05-16,534,347,895,645
2024-05-17,307,577,496,1045
2024-05-20,405,476,501,1044
2024-05-21,292,588,621,931
2024-05-22,402,478,603,913
2024-05-23,349,534,656,872
2024-05-24,264,621,489,1051
2024-05-27,425,443,686,849
2024-05-28,406,467,790,739
2024-05-29,220,676,401,1179
2024-05-30,199,683,484,1076
2024-05-31,534,335,774,754
2024-06-03,637,249,1024,515
2024-06-04,228,645,494,1068
2024-06-05,421,444,628,903
2024-06-07,463,402,794,734
2024-06-10,379,500,699,851
2024-06-11,351,513,608,934
2024-06-12,502,375,855,682
2024-06-13,396,464,713,823
2024-06-14,395,486,488,1070
2024-06-17,362,524,567,1003
2024-06-18,378,499,623,935
2024-06-19,342,539,601,946
2024-06-20,499,371,700,842
2024-06-21,297,581,370,1200
2024-06-24,235,640,356,1239
2024-06-25,497,375,823,731
2024-06-26,355,515,743,817
2024-06-27,264,622,492,1067
2024-06-28,581,296,874,679
2024-07-01,381,495,862,702
2024-07-02,197,694,338,1249
2024-07-03,271,589,430,1151
2024-07-04,486,389,667,881
2024-07-05,400,463,696,857
2024-07-08,519,348,1121,442
2024-07-09,455,409,839,707
2024-07-10,426,434,744,788
2024-07-11,442,415,669,869
2024-07-12,428,433,666,882
2024-07-15,495,382,845,706
2024-07-16,359,500,518,1042
2024-07-17,412,462,557,1003
2024-07-18,277,605,362,1213
2024-07-19,305,575,762,813
2024-07-22,212,676,375,1220
2024-07-23,367,497,691,866
2024-07-24,370,491,701,849
2024-07-25,160,732,298,1290
2024-07-26,596,289,833,717
2024-07-29,636,246,1000,557
2024-07-30,227,667,412,1176
2024-07-31,589,304,831,723
2024-08-01,633,251,1186,387
2024-08-02,60,871,146,1476
2024-08-05,10,924,23,1633
2024-08-06,856,73,1521,115
2024-08-07,730,176,1305,290
2024-08-08,424,468,634,946
2024-08-09,703,202,1371,231
2024-08-12,677,204,1200,379
2024-08-13,325,563,488,1071
2024-08-14,652,236,1172,396
2024-08-16,476,414,863,693
2024-08-19,349,535,506,1105
2024-08-20,649,245,1161,421
2024-08-21,409,450,552,1016
2024-08-22,285,599,365,1214
2024-08-23,429,432,530,1034
2024-08-26,378,509,411,1174
2024-08-27,437,424,750,811
2024-08-28,260,628,560,1023
2024-08-29,283,592,413,1179
2024-08-30,583,293,1147,407
2024-09-02,327,536,598,971
2024-09-03,458,420,571,994
2024-09-04,52,862,120,1507
2024-09-05,358,523,560,1010
2024-09-06,138,764,209,1387
2024-09-09,504,374,970,604
2024-09-10,343,535,455,1139
2024-09-11,345,528,659,894
2024-09-12,766,127,1429,183
2024-09-13,602,271,831,730
2024-09-19,498,373,732,839
2024-09-20,567,319,997,570
2024-09-23,437,451,781,789
2024-09-24,608,265,1087,458
2024-09-25,357,518,780,789
2024-09-26,750,141,1298,295
2024-09-27,417,459,706,858
2024-09-30,182,711,357,1261
2024-10-02,181,706,396,1201
2024-10-04,464,414,791,780
2024-10-07,621,261,1117,460
2024-10-08,306,572,546,1025
2024-10-10,442,428,548,1019
2024-10-11,369,489,589,986
2024-10-14,487,398,793,763
2024-10-15,419,448,771,782
2024-10-16,324,555,472,1112
2024-10-17,359,515,634,924
2024-10-18,269,592,417,1168
2024-10-21,436,429,808,749
2024-10-22,196,692,242,1360
