date,indiv_net_kospi,indiv_net_kosdaq,indiv_net_total,inst_net_kospi,inst_net_kosdaq,inst_net_total,foreign_net_kospi,foreign_net_kosdaq,foreign_net_total
2025-04-25,-727119.4399999988,-2057.7500000000014,-730078.3899999999,497541.25000000047,-61154.909999999974,435321.3100000004,583229.8700000002,68156.88000000005,653212.8899999994
2025-04-28,-31587.93000000005,166603.32999999984,132477.99999999997,93624.01,-112469.34999999999,-17634.109999999993,-103357.45999999998,-42968.75000000001,-144952.85000000003
2025-04-29,-122981.93999999999,-149009.82999999984,-271530.5799999998,-579646.4900000006,49549.86999999997,-532305.9599999998,658707.6600000013,109041.11,769508.1300000034
2025-04-30,319556.9299999999,178675.08999999994,496649.73000000004,-212787.8499999998,-122458.53000000013,-334936.05999999994,-189661.49999999988,-52283.060000000005,-240634.4799999998
2025-05-02,-247936.12000000002,-151412.17,-401033.11000000016,308283.83000000013,67486.20999999998,376948.91000000085,-139589.92000000033,81061.2999999999,-57698.620000000185
2025-05-07,-464671.34000000014,-8643.909999999996,-477375.2199999998,82079.11999999991,1198.3499999999983,85516.17999999975,354956.1700000005,7914.209999999998,364980.2000000003
2025-05-08,-9833.570000000003,-40148.27999999998,-49260.99999999995,-187597.7100000005,-38858.91999999999,-225544.17000000022,135321.87999999995,94364.47000000004,228091.9099999997
2025-05-09,64435.680000000044,320221.09999999974,388935.87999999936,-169641.69000000044,-71487.58999999992,-238814.13000000003,51972.550000000076,-234691.63999999993,-189113.52999999982
2025-05-12,-366515.41000000027,-30124.340000000055,-398476.71000000025,360828.7399999999,5520.969999999998,366605.6899999996,-42774.059999999874,50900.55999999998,9850.929999999973
2025-05-13,-139836.95,-104110.65000000005,-242728.3500000001,-73891.78999999992,58733.31999999997,-15815.559999999987,160406.33000000016,54523.67999999999,214772.72000000026
2025-05-14,-998436.9500000008,-79617.89000000001,-1078660.7799999972,539597.2199999999,66023.09000000005,604719.9100000001,462474.9899999993,31187.389999999985,495250.3099999988
2025-05-15,32038.129999999994,107319.73,139614.66999999963,-365255.47999999905,15157.159999999967,-349982.7799999995,285702.7900000005,-96852.1000000001,188417.61000000045
2025-05-16,-299070.60000000027,191150.87999999992,-104067.0900000003,118622.26999999986,-35469.13999999999,78297.06999999975,181245.10999999955,-145784.16000000012,36299.119999999726
2025-05-19,277919.7699999999,243370.99999999965,520545.7099999987,-187331.7099999996,-183050.85,-370422.2500000002,-100382.32999999993,-40403.83999999994,-140123.51999999984
2025-05-20,-6112.300000000015,-55584.7999999999,-57922.26000000005,73096.5100000001,67895.55000000003,138763.15000000014,-99090.34000000001,36167.86999999999,-64584.09999999999
2025-05-21,-335955.35000000003,-118950.06999999999,-455239.6799999996,88082.34000000004,86926.7700000001,174744.76999999984,218700.7899999998,42066.93000000008,260955.2600000002
2025-05-22,649953.9400000008,103761.31000000008,753494.3700000021,-425787.57999999926,-52459.790000000015,-478095.8599999987,-197092.97999999992,-48161.92999999998,-244940.41000000003
2025-05-23,108818.17999999996,35009.57000000002,143703.96999999974,-107011.02999999996,18443.020000000022,-88229.9099999999,-28378.850000000082,-20648.269999999975,-49051.40000000008
2025-05-26,-522866.1400000003,-160652.1100000002,-684227.8999999983,422074.3800000006,87331.40000000024,509193.1700000008,116926.83000000007,77335.71,194915.67999999996
2025-05-27,29365.010000000046,2980.8300000000154,32676.020000000077,-11355.540000000014,-9023.360000000013,-20224.330000000038,-56968.91999999988,10918.330000000018,-46697.32
2025-05-28,-945273.5299999998,-62064.56999999999,-1009006.5999999997,740946.7699999998,16325.399999999987,757725.2600000005,258531.41999999946,310890.4599999997,571029.0300000003
2025-05-29,-986065.9800000006,-49851.60999999994,-1035001.9700000013,683600.8199999996,59319.020000000055,740909.8799999995,274204.6099999998,-7236.970000000013,267965.07999999943
2025-05-30,573805.150000002,83500.86000000006,658838.5100000012,-27786.94000000006,5268.379999999997,-23096.670000000075,-570731.1599999998,-85766.37999999989,-657510.0499999999
