date,investor_deposit,deriv_deposit,broker_rp_balance,margin_call_unpaid,margin_call_liquidation,margin_liquidation_ratio,credit_loan_total,credit_loan_kospi,credit_loan_kosdaq,credit_short_total,credit_short_kospi,credit_short_kosdaq,subscription_loan,pledged_securities_loan,cma_rp,cma_mmf,cma_jonggeum,cma_note,cma_other,cma_balance,mmf_total,mmf_indiv,mmf_corp,mmf_other
2020-01-02,29859926,8507119,64913495,166981,11181,5.2,9207175,4061820,5145354,23321,15790,7531,0,17232050,25328514,2811769,805123,4597282,19066887,52609575,105847943,21931449,83916477,17
2020-01-03,30666501,8348404,66955731,156313,10360,6.2,9231595,4080601,5150994,23862,15954,7908,0,17218834,25392686,2819070,807676,4624974,19266502,52910908,113191431,22055294,91136121,17
2020-01-06,27948034,8301672,69010052,181708,10509,6.7,9376932,4162646,5214286,23951,15717,8234,0,17292078,25345665,2815661,801924,4629869,19045641,52638761,120101691,22136793,97964881,17
2020-01-07,27038368,8556788,69302005,200599,9365,5.2,9479197,4191505,5287692,23441,15303,8138,0,17330236,25336792,2818862,803969,4643713,19176785,52780120,121966890,22150466,99816408,17
2020-01-08,26913932,8725291,69345975,220218,11173,5.6,9531604,4211678,5319927,23344,15388,7956,0,17402757,25228230,2819699,811053,4638757,18998122,52495861,123033592,22165077,100868498,17
2020-01-09,28154028,8573376,69596692,206265,11050,5.0,9532312,4202096,5330216,25053,16424,8629,0,17356740,25243617,2820513,803472,4653313,18977506,52498421,122065054,22190158,99874880,17
2020-01-10,29171442,8522973,68676733,220126,10383,5.0,9493450,4201428,5292021,24263,15904,8360,0,17424289,25309966,2821381,795082,4664437,18773268,52364134,122278364,22177200,100101147,17
2020-01-13,27640974,8509001,68205031,197437,12940,5.9,9459644,4194931,5264712,25932,17164,8768,0,17356949,25246818,2807655,797396,4628462,18950444,52430775,125050601,22249247,102801337,17
2020-01-14,27978833,8606300,68220304,184896,10166,5.1,9543165,4228913,5314252,27031,17740,9291,0,17394323,25190255,2818079,789626,4626519,18923800,52348279,125636517,22251071,103385429,17
2020-01-15,28360485,8705477,68242020,187625,10447,5.7,9644538,4262453,5382085,27328,18161,9168,0,17415164,25240760,2814648,784894,4648611,18815509,52304422,126737346,22248675,104488654,17
2020-01-16,27571005,8695475,68440995,189749,9853,5.3,9695465,4277367,5418098,27259,17816,9443,0,17432645,25278639,2827300,784141,4663643,18814346,52368068,128492311,22257617,106234677,17
2020-01-17,27545874,8650297,68502776,193914,9678,5.1,9773968,4317402,5456566,27714,17990,9724,0,17457957,25235134,2824854,789945,4642569,18386401,51878903,128623199,22333686,106289496,17
2020-01-20,28162090,8689211,68139715,199358,9555,4.9,9879240,4379350,5499890,27945,18135,9810,0,17492539,25222584,2820771,791249,4601837,18171089,51607529,126791305,22354085,104437203,17
2020-01-21,27679498,8887616,68332373,189827,10005,5.0,9892463,4390841,5501622,28578,18413,10164,0,17514375,25375309,2831762,794753,4664490,18603162,52269476,128128743,22362672,105766055,17
2020-01-22,27762464,8875885,67850360,197322,10146,5.3,9950474,4394250,5556224,28328,18425,9903,0,17541850,25263484,2833131,799255,4568725,17851125,51315720,127334245,22413568,104920660,17
2020-01-23,27032949,8864031,67757622,198136,9499,4.8,9999563,4398996,5600568,27121,17702,9419,0,17591052,25364320,2832286,801503,4618772,17881471,51498352,126268313,22483636,103784661,17
2020-01-28,30221242,8879068,67454105,169208,8781,4.4,10019726,4414481,5605245,28239,18316,9923,0,17595282,25332430,2816201,796922,4735277,18639030,52319861,124894758,22571870,102322871,17
2020-01-29,29219885,8597130,67623616,182066,12451,7.4,10092624,4453538,5639085,27632,17890,9741,0,17618750,25289573,2831191,795441,4770115,18754914,52441234,128114118,22530845,105583256,17
2020-01-30,30223021,8595804,67549067,252405,13013,7.1,10106988,4491672,5615316,25924,16208,9715,0,17740949,25011548,2805631,791662,4668375,18433160,51710376,128948045,22505895,106442134,17
2020-01-31,28718926,8379734,67897163,221346,14076,5.6,10080631,4478932,5601700,26211,16868,9342,0,17739394,25188881,2805422,776251,4840097,18217499,51828150,128392737,22488885,105903835,17
2020-02-03,31241363,8390376,68517366,250038,13673,6.2,10038047,4456013,5582034,24412,15288,9123,0,17811552,25242268,2863128,773142,4876437,18897695,52652669,129603251,22565473,107037761,17
2020-02-04,29506982,8356499,69151889,233377,12063,4.8,9914933,4420757,5494175,24251,15584,8668,0,17771104,25177211,2877632,767031,4756456,18887649,52465979,136689489,22654642,114034830,17
2020-02-05,29160654,8448238,69194088,209206,11793,5.1,9818154,4407226,5410928,24115,15311,8804,0,17681316,25120497,2895151,776573,4740498,18773405,52306124,139502038,22695855,116806165,17
2020-02-06,28905628,8781059,70176052,186228,10269,4.9,9853155,4427494,5425662,25751,16874,8877,0,17673062,25304222,2897429,764389,4790092,18958379,52714511,140406169,22714414,117691738,17
2020-02-07,28655825,8762553,70216316,185625,8589,4.6,9941547,4476895,5464652,27669,18140,9530,0,17704063,25365183,2923972,757556,4862676,18751485,52660871,142161887,22750183,119411687,17
2020-02-10,30471046,8677747,69940534,190281,11206,6.0,9941121,4433371,5507750,29691,19730,9961,0,17700603,25448052,2918825,749314,4868993,18665063,52650247,143820593,22782272,121038304,17
2020-02-11,28600272,8723758,70706195,186878,11637,6.1,10085083,4505514,5579569,28707,19046,9661,0,17775087,25301119,2918404,741749,4700721,18477019,52139012,145045615,22773344,122272254,17
2020-02-12,28369377,8742637,70510718,193545,9583,5.1,10182059,4553515,5628544,27164,17751,9414,0,17799632,25263003,2919570,743099,4677995,18534776,52138444,146157686,22797118,123360552,17
2020-02-13,30112161,8664989,71167381,178911,11419,5.9,10231273,4557718,5673554,27721,17826,9895,0,17767193,25464333,2918405,734404,4856151,18866474,52839767,146621405,22803115,123818273,17
2020-02-14,28321208,8597946,71290150,186516,10473,5.9,10294979,4568265,5726714,28309,18762,9547,0,17773009,25543652,2921628,736423,4888696,18821827,52912225,148907173,22825366,126081790,17
2020-02-17,28754576,8575629,71262208,216775,11171,6.0,10351033,4572985,5778049,28968,18647,10321,0,17815678,25567044,2920443,728796,4890024,18941337,53047644,147371932,22846019,124525896,17
2020-02-18,29030416,8804535,71538474,196787,9959,4.6,10405212,4573679,5831533,29836,19521,10315,0,17871495,25484157,2927766,728531,4870511,19011828,53022793,147601856,22850939,124750900,17
2020-02-19,28915565,8640867,72092934,199915,11047,5.6,10462694,4609629,5853064,29711,19024,10687,0,17879138,25448200,2924169,724632,4865239,19077447,53039688,149034749,22835464,126199268,17
2020-02-20,28617966,8713998,72208337,215670,11197,5.6,10514123,4646824,5867299,28365,18138,10227,0,17996810,24933917,2899744,722907,4599031,17875304,51030903,148545188,22794402,125750769,17
2020-02-21,28591644,8826703,72406814,218143,12836,6.0,10516321,4630141,5886180,28430,18321,10109,0,17999785,25322981,2895573,767917,4878871,18893033,52758375,148382250,22770236,125611997,17
2020-02-24,30122901,9144132,72301301,224011,11953,5.5,10543567,4628986,5914581,27877,17511,10365,0,18083593,25115533,2885390,752978,4858238,18806612,52418751,146322327,22857780,123464530,17
2020-02-25,30712805,9006534,72849282,225402,16481,7.4,10486371,4596876,5889495,26210,16990,9219,0,18123417,25221288,2876385,745897,4911017,18893316,52647902,146718785,22786020,123932748,17
2020-02-26,31749767,8883281,73071903,285800,14882,6.6,10350972,4558505,5792466,22947,15179,7767,0,18101295,25166701,2864176,745873,4911959,19041636,52730344,146237827,22745930,123491879,17
2020-02-27,31169055,8633576,72934459,242988,13684,4.8,10296179,4584084,5712095,22099,13824,8274,0,17999399,24869539,2837819,738328,4765104,18164218,51375008,147942487,22743226,125199245,17
2020-02-28,31211202,8797247,73482853,205060,10642,4.4,10372604,4638838,5733766,20456,12290,8166,0,18097360,24844814,2807770,737484,4923902,18133938,51447907,143581476,22680612,120900847,17
2020-03-02,33181501,9293370,73886824,219412,16507,8.0,10278525,4577856,5700670,18909,11332,7577,0,18120847,25173561,2829365,739003,5031957,18296177,52070063,143281882,22674247,120607619,17
2020-03-03,31569727,9192372,73923553,243617,11607,5.3,10010245,4476958,5533288,17856,10857,6999,0,18030604,24748216,2826041,742352,4642133,17727831,50686573,146977066,22732855,124244194,17
2020-03-04,31073392,9448533,74485820,208535,11866,4.9,9941075,4490105,5450970,19897,11935,7962,0,17887346,24859008,2827107,735340,4624305,17798100,50843861,147896628,22742817,125153794,17
2020-03-05,31026058,9592545,75164123,210254,8639,4.1,9996896,4503827,5493070,20321,12257,8064,0,17888270,25260987,2826490,730348,5007776,18746137,52571738,147804232,22768268,125035947,17
2020-03-06,31051630,9480584,75292008,187508,13131,6.2,10024660,4520719,5503941,22057,13450,8607,0,17856977,25336893,2838579,734414,5086467,18815086,52811439,146665062,22805475,123859571,17
2020-03-09,32097375,9601767,74842801,182230,10775,5.7,10106442,4535825,5570617,24062,14754,9308,0,17854897,25196601,2816553,719865,5036869,18764804,52534692,146481192,22868470,123612705,17
2020-03-10,32909290,9758978,74734405,215498,13333,7.3,10187397,4564823,5622574,22565,13284,9281,0,17960284,25190462,2802506,714353,5048123,18833186,52588631,145045448,22843988,122201443,17
2020-03-11,33024250,9780972,74870063,296849,11163,5.2,10134516,4551238,5583278,18822,10421,8401,0,18019009,25039515,2805524,715175,5020246,18864490,52444950,145472553,22861198,122611338,17
2020-03-12,34079308,10000406,74758874,257870,13668,4.6,10026043,4562258,5463785,18724,10662,8061,0,17966311,25038724,2779619,712486,5038103,18580640,52149572,145853469,22862414,122991038,17
2020-03-13,36190053,10061558,74813106,286390,21888,8.5,9862825,4515814,5347011,16649,9602,7047,0,17937364,24955175,2752702,705584,5043729,18506746,51963936,146623419,22784766,123838636,17
2020-03-16,36718878,10226298,74559224,312138,19145,6.7,9419006,4335190,5083816,15176,8565,6611,0,17660596,25108161,2743025,699967,5011458,18242290,51804900,146547105,22728719,123818369,17
2020-03-17,37740889,10468361,75042521,319123,24964,8.0,8542175,4004707,4537468,13218,7827,5391,0,17126403,25262641,2743663,670301,4987813,18437376,52101793,144707152,22695132,122012004,17
2020-03-18,37112639,10723422,75206109,340641,24520,7.7,8141754,3861952,4279802,11253,6651,4602,0,16961719,25198213,2747800,658985,4955582,18327141,51887721,146311581,22660624,123650940,17
2020-03-19,38366656,11235929,75151877,318545,26058,7.6,7828321,3765934,4062386,10103,6067,4036,0,16628441,25191608,2725024,649203,4935712,18026815,51528361,146194939,22626577,123568345,17
2020-03-20,39121906,11366103,75277490,288341,24971,7.8,7524496,3611615,3912881,8917,5142,3775,0,16244888,25311142,2726384,632634,5020852,18061730,51752742,141914822,22467331,119447474,17
