date,per_trailing,per_2026e,per_2027e,n_trailing,n_2026e,n_2027e,pbr_trailing,pbr_2026e,pbr_2027e,np_trailing,np_2026e,np_2027e
2026-08-07,49.77,30.289,23.488,35,33,34,7.151,5.639,4.708,50.0,35.0,35.0
2026-08-10,57.285,33.655,25.292,35,33,34,7.942,6.279,5.205,50.0,35.0,35.0
2026-08-11,58.126,33.651,25.382,36,32,33,7.937,6.294,5.22,50.0,34.0,34.0
2026-08-12,67.692,34.759,26.312,35,31,32,8.262,6.651,5.474,50.0,34.0,34.0
2026-08-13,68.342,35.041,26.514,35,31,32,8.361,6.716,5.528,50.0,34.0,34.0
2026-08-14,67.283,35.115,26.54,35,31,32,8.399,6.752,5.553,50.0,34.0,34.0
2026-08-18,65.363,33.007,25.671,35,30,32,8.135,6.576,5.403,50.0,34.0,34.0
2026-08-19,64.798,32.068,25.656,35,30,33,8.066,6.512,5.356,50.0,35.0,35.0
2026-08-20,66.801,33.296,26.479,35,30,32,8.254,6.696,5.513,50.0,34.0,34.0
2026-08-21,63.452,31.5,25.084,35,30,32,7.797,6.325,5.204,50.0,34.0,34.0
2026-08-24,64.225,31.993,25.475,35,30,32,7.951,6.41,5.272,50.0,34.0,34.0
