date,per_trailing,per_2026e,per_2027e,n_trailing,n_2026e,n_2027e,pbr_trailing,pbr_2026e,pbr_2027e,np_trailing,np_2026e,np_2027e
2026-08-07,22.995,5.879,4.607,46,48,50,2.527,1.758,1.295,50.0,50.0,50.0
2026-08-10,23.28,5.875,4.651,46,48,50,2.54,1.764,1.303,50.0,50.0,50.0
2026-08-11,23.541,5.938,4.696,46,48,50,2.564,1.781,1.315,50.0,50.0,50.0
2026-08-12,24.596,6.207,4.906,46,48,50,2.676,1.858,1.373,50.0,50.0,50.0
2026-08-13,25.631,6.464,5.107,46,48,50,2.786,1.934,1.429,50.0,50.0,50.0
2026-08-14,26.284,6.63,5.234,46,48,50,2.857,1.963,1.461,50.0,50.0,50.0
2026-08-18,25.945,6.489,5.14,46,48,50,2.818,1.926,1.433,50.0,50.0,50.0
2026-08-19,24.042,6.046,4.799,46,48,50,2.621,1.793,1.334,50.0,50.0,50.0
2026-08-20,25.779,6.469,5.119,46,48,50,2.803,1.916,1.423,50.0,50.0,50.0
2026-08-21,26.209,6.55,5.186,46,48,50,2.845,1.943,1.442,50.0,50.0,50.0
2026-08-24,25.272,6.278,4.978,46,48,50,2.747,1.871,1.387,50.0,50.0,50.0
2026-08-25,25.203,6.327,5.01,46,48,50,2.759,1.882,1.396,50.0,50.0,50.0
2026-08-26,25.678,6.375,5.05,46,48,50,2.786,1.897,1.405,50.0,50.0,50.0
2026-08-27,26.111,6.508,5.151,46,48,50,2.843,1.936,1.434,50.0,50.0,50.0
2026-08-28,25.487,6.333,5.024,46,48,50,2.765,1.882,1.395,50.0,50.0,50.0
