date,foreign_net_value,foreign_ownership_ratio,indiv_net_value,inst_net_value,kospi_close,kospi_market_cap,kospi_trading_value,other_corp_net_value
2020-01-02,,,,,2175.17,1461424793589993.0,4638167.0,
2020-01-03,,,,,2176.46,1462298971774498.0,5763662.0,
2020-01-06,,,,,2155.07,1448385085188395.0,5156540.0,
2020-01-07,,,,,2175.54,1462298814406954.0,5143511.0,
2020-01-08,,,,,2151.31,1446631314388659.0,8750722.0,
2020-01-09,,,,,2186.45,1470805018622162.0,7261591.0,
2020-01-10,,,,,2206.39,1484063380523097.0,6459299.0,
2020-01-13,,,,,2229.26,1499967180669582.0,6214780.0,
2020-01-14,,,,,2238.88,1506534496285997.0,7294227.0,
2020-01-15,,,,,2230.98,1501047629018491.0,5946351.0,
2020-01-16,,,,,2248.05,1513149909207655.0,6204474.0,
2020-01-17,,,,,2250.57,1515299753695611.0,5444383.0,
2020-01-20,,,,,2262.64,1524384083509849.0,5950403.0,
2020-01-21,,,,,2239.69,1508408627687428.0,5569550.0,
2020-01-22,,,,,2267.25,1526798959055386.0,6365617.0,
2020-01-23,,,,,2246.13,1512629061905415.0,6790103.0,
2020-01-28,,,,,2176.72,1466083102897148.0,8818232.0,
2020-01-29,,,,,2185.28,1472171521931855.0,6589949.0,
2020-01-30,,,,,2148.0,1446505817054810.0,7105203.0,
2020-01-31,,,,,2119.01,1427047754939819.0,7226687.0,
2020-02-03,,,,,2118.88,1427133301985757.0,8068704.0,
2020-02-04,,,,,2157.9,1454235584223968.0,7791178.0,
2020-02-05,,,,,2165.63,1460243894885127.0,7736275.0,
2020-02-06,,,,,2227.94,1501460505978003.0,8334737.0,
2020-02-07,,,,,2211.95,1491013321310687.0,8813174.0,
2020-02-10,,,,,2201.07,1483846707096682.0,5471061.0,
2020-02-11,,,,,2223.12,1498338521859173.0,6611195.0,
2020-02-12,,,,,2238.38,1508346241846750.0,6892197.0,
2020-02-13,,,,,2232.96,1505295816622192.0,8121197.0,
2020-02-14,,,,,2243.59,1511254622615908.0,6379565.0,
2020-02-17,,,,,2242.17,1510109679102093.0,5639200.0,
2020-02-18,,,,,2208.88,1487436220977309.0,6411451.0,
2020-02-19,,,,,2210.34,1488454958761049.0,7107033.0,
2020-02-20,,,,,2195.5,1478574047802416.0,7677672.0,
2020-02-21,,,,,2162.84,1456692607497773.0,7105856.0,
2020-02-24,,,,,2079.04,1400516367868853.0,9315474.0,
2020-02-25,,,,,2103.61,1417275415217287.0,8952278.0,
2020-02-26,,,,,2076.77,1398569205665041.0,8060327.0,
2020-02-27,,,,,2054.89,1383776360997792.0,7241174.0,
2020-02-28,,,,,1987.01,1337716963290314.0,9927960.0,
2020-03-02,,,,,2002.51,1348109552183221.0,7811002.0,
2020-03-03,,,,,2014.15,1356176459905865.0,8687846.0,
2020-03-04,,,,,2059.33,1386938608490669.0,7829192.0,
2020-03-05,,,,,2085.26,1404684361584030.0,7954349.0,
2020-03-06,,,,,2040.22,1373917955358746.0,7233537.0,
2020-03-09,,,,,1954.77,1316427699384929.0,8796943.0,
2020-03-10,,,,,1962.93,1321480461086756.0,9133693.0,
2020-03-11,,,,,1908.27,1284895600563685.0,8598096.0,
2020-03-12,,,,,1834.33,1235351151777928.0,11309953.0,
2020-03-13,,,,,1771.44,1193686836834111.0,13376937.0,
2020-03-16,,,,,1714.86,1155216110560059.0,8593833.0,
2020-03-17,,,,,1672.44,1126202983998029.0,9709076.0,
2020-03-18,,,,,1591.2,1071788837300586.0,9576387.0,
2020-03-19,,,,,1457.64,982169749104868.0,11932492.0,
2020-03-20,,,,,1566.15,1054892888467243.0,10632970.0,
2020-03-23,,,,,1482.46,998450497948322.0,9645271.0,
2020-03-24,,,,,1609.97,1083695461251076.0,10481447.0,
2020-03-25,,,,,1704.76,1147712134896263.0,12612287.0,
2020-03-26,,,,,1686.24,1135741554179897.0,12374197.0,
2020-03-27,,,,,1717.73,1156581472275771.0,12851932.0,
2020-03-30,,,,,1717.12,1155630476602887.0,9081049.0,
2020-03-31,,,,,1754.64,1179728722560726.0,13905369.0,
2020-04-01,,,,,1685.46,1133944054487121.0,12110507.0,
2020-04-02,,,,,1724.86,1159987256045893.0,10152244.0,
2020-04-03,,,,,1725.44,1160743273084198.0,10153714.0,
