date,code,name,action,price,amount,sector
2026-08-31,005930,삼성전자,BUY,260000,126100000.0,반도체
2026-08-31,000660,SK하이닉스,BUY,1674000,125550000.0,반도체
2026-08-31,159010,아스플로,BUY,21500,21005500.0,반도체소부장
2026-08-31,222800,심텍,BUY,129300,20946600.0,반도체소부장
2026-08-31,017670,SK텔레콤,BUY,94200,27977400.0,통신
2026-08-31,327260,RF머트리얼즈,BUY,36750,39984000.0,통신
2026-08-31,086450,동국제약,BUY,22250,29993000.0,화장품
2026-08-31,257720,실리콘투,BUY,54200,20975400.0,화장품
2026-08-31,003350,한국화장품제조,BUY,14970,21002910.0,화장품
2026-08-31,105560,KB금융,BUY,173300,40032300.0,은행
2026-08-31,316140,우리금융지주,BUY,33800,20989800.0,은행
2026-08-31,001450,현대해상,BUY,50900,21021700.0,보험
2026-08-31,196170,알테오젠,BUY,307500,24907500.0,제약바이오
2026-08-31,010140,삼성중공업,BUY,20900,21004500.0,조선
2026-08-31,006260,LS,BUY,311500,20870500.0,전력기기
2026-08-31,006360,GS건설,BUY,36300,21017700.0,건설
2026-08-31,010950,S-OIL,BUY,150100,21014000.0,정유화학
2026-08-31,322000,HD현대에너지솔루션,BUY,142300,21060400.0,신재생
2026-08-31,306200,세아제강,BUY,139000,20989000.0,철강
2026-08-31,003490,대한항공,BUY,28100,20990700.0,항공
2026-08-31,006400,삼성SDI,BUY,577000,20772000.0,배터리
2026-08-31,124500,아이티센글로벌,BUY,35900,21001500.0,기타
2026-08-31,052690,한전기술,BUY,116400,20952000.0,원전
2026-09-01,010140,삼성중공업,SELL,21000,21105000.0,조선
2026-09-01,105560,KB금융,SELL,171200,39547200.0,은행
2026-09-01,066970,엘앤에프,BUY,131200,40016000.0,배터리소재
2026-09-01,086450,동국제약,BUY,21900,5015100.0,화장품
2026-09-01,096770,SK이노베이션,BUY,135300,20971500.0,정유화학
2026-09-02,052690,한전기술,SELL,105800,19044000.0,원전
2026-09-02,006360,GS건설,SELL,32250,18672750.0,건설
2026-09-02,124500,아이티센글로벌,SELL,33750,19743750.0,기타
2026-09-02,326030,SK바이오팜,BUY,86300,20798300.0,제약바이오
2026-09-02,066970,엘앤에프,BUY,124700,19827300.0,배터리소재
2026-09-02,036810,에프에스티,BUY,27400,29756400.0,반도체소부장
2026-09-02,124500,아이티센글로벌,BUY,33750,29767500.0,기타
2026-09-03,086450,동국제약,BUY,21800,12665800.0,화장품
2026-09-04,036810,에프에스티,BUY,25550,9632350.0,반도체소부장
2026-09-04,159010,아스플로,BUY,25400,9626600.0,반도체소부장
2026-09-04,017670,SK텔레콤,SELL,92500,7215000.0,통신
2026-09-07,066970,엘앤에프,SELL,114500,9732500.0,배터리소재
2026-09-07,327260,RF머트리얼즈,SELL,33750,9787500.0,통신
2026-09-07,159010,아스플로,BUY,24100,9784600.0,반도체소부장
2026-09-08,066970,엘앤에프,SELL,113700,9891900.0,배터리소재
2026-09-08,375500,DL이앤씨,BUY,78600,20750400.0,건설
2026-09-09,005930,삼성전자,SELL,269500,25063500.0,반도체
2026-09-09,000660,SK하이닉스,SELL,1856000,35264000.0,반도체
2026-09-09,086450,동국제약,SELL,19740,7382760.0,제약
2026-09-09,010950,S-OIL,SELL,165900,2156700.0,정유화학
2026-09-09,096770,SK이노베이션,SELL,153500,2609500.0,정유화학
2026-09-09,159010,아스플로,SELL,24200,387200.0,반도체소부장
2026-09-09,003490,대한항공,SELL,29800,1132400.0,항공
2026-09-09,003350,한국화장품제조,BUY,13340,2414540.0,화장품
2026-09-09,316140,우리금융지주,BUY,33500,335000.0,은행
2026-09-09,017670,SK텔레콤,BUY,91300,1095600.0,통신
2026-09-09,306200,세아제강,SELL,147100,1029700.0,철강
2026-09-09,006260,LS,SELL,330000,7920000.0,전력기기
2026-09-09,222800,심텍,SELL,132600,7425600.0,반도체소부장
2026-09-09,196170,알테오젠,SELL,279500,8664500.0,제약바이오
2026-09-09,006400,삼성SDI,SELL,574000,6314000.0,배터리
2026-09-09,170920,엘티씨,BUY,36300,14084400.0,반도체소부장
2026-09-09,006360,GS건설,BUY,35550,14077800.0,건설
2026-09-09,018260,삼성에스디에스,BUY,224500,14143500.0,IT서비스
2026-09-09,257720,실리콘투,SELL,44600,3166600.0,화장품
2026-09-09,085620,미래에셋생명,BUY,19280,14093680.0,보험
2026-09-09,089890,코세스,BUY,25150,14084000.0,기타
2026-09-09,028670,팬오션,BUY,6010,14087440.0,해운
2026-09-09,082740,한화엔진,BUY,49150,14106050.0,조선
2026-09-09,327260,RF머트리얼즈,BUY,42300,465300.0,통신
2026-09-09,125020,티씨머티리얼즈,BUY,6240,14089920.0,전력기기
2026-09-09,138930,BNK금융지주,BUY,15520,14092160.0,은행
2026-09-09,036810,에프에스티,BUY,25800,490200.0,반도체소부장
2026-09-09,001450,현대해상,SELL,49000,6174000.0,보험
2026-09-09,375500,DL이앤씨,SELL,81200,7389200.0,건설
2026-09-09,326030,SK바이오팜,SELL,83800,6117400.0,제약바이오
2026-09-09,322000,HD현대에너지솔루션,SELL,143100,7155000.0,신재생
2026-09-09,066970,엘앤에프,BUY,127000,127000.0,배터리소재
2026-09-09,124500,아이티센글로벌,SELL,32100,128400.0,기타
