date,code,name,action,price,amount,sector
2026-09-09,036930,주성엔지니어링,BUY,206500.0,69797000.0,반도체소부장
2026-09-09,058470,리노공업,BUY,70100.0,69959800.0,반도체소부장
2026-09-09,240810,원익IPS,BUY,120100.0,79986600.0,반도체소부장
2026-09-09,036810,에프에스티,BUY,25800.0,69995400.0,반도체소부장
2026-09-09,086390,유니테스트,BUY,11300.0,49991200.0,반도체와반도체장비
2026-09-09,196170,알테오젠,BUY,279500.0,99781500.0,제약바이오
2026-09-09,141080,리가켐바이오,BUY,90300.0,39912600.0,제약바이오
2026-09-09,298380,에이비엘바이오,BUY,69000.0,39951000.0,제약바이오
2026-09-09,237690,에스티팜,BUY,91000.0,59969000.0,제약
2026-09-09,107640,한중엔시에스,BUY,43150.0,59978500.0,전기장비
2026-09-09,091580,상신이디피,BUY,22050.0,49987350.0,배터리소재
2026-09-09,108490,로보티즈,BUY,310000.0,69750000.0,기계
2026-09-09,058610,에스피지,BUY,93300.0,19966200.0,전기제품
2026-09-09,214450,파마리서치,BUY,366000.0,19764000.0,주사제
2026-09-09,086450,동국제약,BUY,19740.0,49981680.0,제약
2026-09-09,089890,코세스,BUY,25150.0,59982750.0,기타
2026-09-09,327260,RF머트리얼즈,BUY,42300.0,29990700.0,통신
2026-09-09,138080,오이솔루션,BUY,24000.0,19992000.0,광학기기및장비
2026-09-09,382900,범한퓨얼셀,BUY,23350.0,19987600.0,전기장비
2026-09-09,125020,티씨머티리얼즈,BUY,6240.0,19999200.0,전력기기
2026-09-09,251340,KODEX 코스닥150선물인버스,BUY,2405.0,999999000.0,인버스ETF
2026-09-11,240810,원익IPS,SELL,110300,10037300.0,반도체소부장
2026-09-11,086390,유니테스트,BUY,10930,20034690.0,반도체와반도체장비
2026-09-11,086450,동국제약,BUY,19850,10024250.0,제약
2026-09-11,089890,코세스,BUY,26350,10013000.0,기타
2026-09-11,138080,오이솔루션,SELL,23500,19575500.0,광학기기및장비
2026-09-11,189300,인텔리안테크,BUY,63400,20034400.0,통신장비
2026-09-11,141080,리가켐바이오,SELL,85200,10053600.0,제약바이오
2026-09-11,298380,에이비엘바이오,SELL,66100,10047200.0,제약바이오
2026-09-15,141080,리가켐바이오,SELL,83700,10044000.0,제약바이오
2026-09-15,298380,에이비엘바이오,SELL,59700,10089300.0,제약바이오
2026-09-15,257720,실리콘투,BUY,43650,20166300.0,인터넷과카탈로그소매
2026-09-16,141080,리가켐바이오,SELL,82500,16830000.0,제약바이오
2026-09-16,298380,에이비엘바이오,SELL,56800,14654400.0,제약바이오
2026-09-16,096530,씨젠,BUY,32250,20188500.0,진단키트
2026-09-16,042520,한스바이오메드,BUY,18910,20196280.0,건강관리장비와용품
2026-09-17,058470,리노공업,SELL,67600,67464800.0,반도체소부장
2026-09-17,183300,코미코,BUY,29300,71316200.0,반도체와반도체장비
2026-09-17,240810,원익IPS,SELL,119300,20400300.0,반도체소부장
2026-09-17,036810,에프에스티,BUY,27100,10189600.0,반도체소부장
2026-09-17,086390,유니테스트,BUY,11900,10186400.0,반도체와반도체장비
2026-09-17,251340,KODEX 코스닥150선물인버스,SELL,2445,201604920.0,인버스ETF
2026-09-18,214450,파마리서치,SELL,327000,17658000.0,건강관리장비와용품
2026-09-18,355150,코스텍시스,BUY,21750,20529189.5,반도체와반도체장비
