date,code,name,action,price,amount,sector
2026-08-31,005930,삼성전자,BUY,260000,126100000,반도체
2026-08-31,000660,SK하이닉스,BUY,1674000,125550000,반도체
2026-08-31,159010,아스플로,BUY,21500,21005500,반도체소부장
2026-08-31,222800,심텍,BUY,129300,20946600,반도체소부장
2026-08-31,017670,SK텔레콤,BUY,94200,27977400,통신
2026-08-31,327260,RF머트리얼즈,BUY,36750,39984000,통신
2026-08-31,086450,동국제약,BUY,22250,29993000,화장품
2026-08-31,257720,실리콘투,BUY,54200,20975400,화장품
2026-08-31,003350,한국화장품제조,BUY,14970,21002910,화장품
2026-08-31,105560,KB금융,BUY,173300,40032300,은행
2026-08-31,316140,우리금융지주,BUY,33800,20989800,은행
2026-08-31,001450,현대해상,BUY,50900,21021700,보험
2026-08-31,196170,알테오젠,BUY,307500,24907500,제약바이오
2026-08-31,010140,삼성중공업,BUY,20900,21004500,조선
2026-08-31,006260,LS,BUY,311500,20870500,전력기기
2026-08-31,006360,GS건설,BUY,36300,21017700,건설
2026-08-31,010950,S-OIL,BUY,150100,21014000,정유화학
2026-08-31,322000,HD현대에너지솔루션,BUY,142300,21060400,신재생
2026-08-31,306200,세아제강,BUY,139000,20989000,철강
2026-08-31,003490,대한항공,BUY,28100,20990700,항공
2026-08-31,006400,삼성SDI,BUY,577000,20772000,배터리
2026-08-31,124500,아이티센글로벌,BUY,35900,21001500,기타
2026-08-31,052690,한전기술,BUY,116400,20952000,원전
2026-09-01,010140,삼성중공업,SELL,21000,21105000,조선
2026-09-01,105560,KB금융,SELL,171200,39547200,은행
2026-09-01,066970,엘앤에프,BUY,131200,40016000,배터리소재
2026-09-01,086450,동국제약,BUY,21900,5015100,화장품
2026-09-01,096770,SK이노베이션,BUY,135300,20971500,정유화학
