date,code,name,action,price,amount,sector
2026-08-19,181710,NHN,BUY,74500.0,40000000,IT·게임
2026-08-19,340570,티앤엘,BUY,30250.0,40000000,의료기기
2026-08-19,214450,파마리서치,BUY,391000.0,40000000,주사제
2026-08-19,161890,한국콜마,BUY,127800.0,40000000,화장품·제약
2026-08-19,096530,씨젠,BUY,30000.0,40000000,진단키트
2026-08-19,009420,한올바이오파마,BUY,59200.0,40000000,제약바이오
2026-08-19,078930,GS,BUY,119700.0,40000000,지주사
2026-08-19,010950,S-Oil,BUY,151600.0,40000000,정유화학
2026-08-19,005950,이수화학,BUY,12730.0,40000000,정유화학
2026-08-19,004430,송원산업,BUY,11120.0,40000000,화학
2026-08-19,119850,지엔씨에너지,BUY,54900.0,40000000,발전설비
2026-08-19,236200,슈프리마,BUY,57900.0,40000000,보안·생체인식
2026-08-19,006340,대원전선,BUY,14140.0,40000000,전선
2026-08-19,001450,현대해상,BUY,50000.0,40000000,보험
2026-08-19,252990,샘씨엔에스,BUY,14350.0,40000000,반도체소부장
2026-08-19,446540,메가터치,BUY,7840.0,40000000,반도체소부장
2026-08-19,219130,타이거일렉,BUY,71400.0,40000000,전자부품
2026-08-19,159010,아스플로,BUY,22650.0,40000000,반도체소부장
2026-08-19,144960,뉴파워프라즈마,BUY,10520.0,40000000,반도체소부장
2026-08-19,007340,DN오토모티브,BUY,54100.0,40000000,자동차부품
2026-08-19,317400,자이에스앤디,BUY,10900.0,40000000,건설
2026-08-19,028050,삼성E&A,BUY,48500.0,40000000,플랜트·건설
2026-08-19,041830,인바디,BUY,62400.0,40000000,의료기기
2026-08-19,475150,SK이터닉스,BUY,57800.0,40000000,신재생에너지
2026-08-19,005430,한국공항,BUY,83900.0,40000000,항공지상서비스
