code,name,year,op_100mil,note,date
A005950,이수화학,2026,1800,사용자 직접 지정(2026-08-18),2026-08-18
A006260,LS,2027,32000,자체추정(오기종 2026-09-18),2026-09-18
A126340,비나텍,2027,286,자체추정(오기종 2026-09-18),2026-09-18
A052710,아모텍,2027,350,자체추정(오기종 2026-09-18),2026-09-18
A080580,오킨스전자,2027,600,자체추정(오기종 2026-09-18),2026-09-18
A010140,삼성중공업,2027,20000,자체추정(오기종 2026-09-18),2026-09-18
A460870,에스엠씨지,2027,94,자체추정(오기종 2026-09-18),2026-09-18
A097230,HJ중공업,2027,3000,자체추정(오기종 2026-09-18),2026-09-18
A140070,서플러스글로벌,2027,300,자체추정(오기종 2026-09-18),2026-09-18
A131970,두산테스나,2027,1150,자체추정(오기종 2026-09-18),2026-09-18
A194700,노바렉스,2027,550,자체추정(오기종 2026-09-21),2026-09-21
A086670,비엠티,2027,290,자체추정(오기종 2026-09-21),2026-09-21
A452280,한선엔지니어링,2027,288,자체추정(김준학 2026-09-21),2026-09-21
A041830,인바디,2027,801,자체추정(김준학 2026-09-21),2026-09-21
A125020,티씨머티리얼즈,2027,321,자체추정(김준학 2026-09-21),2026-09-21
A086450,동국제약,2027,1500,자체추정(장민국 2026-09-21),2026-09-21
A355150,코스텍시스,2027,150,자체추정(오기종 2026-09-21),2026-09-21
A004430,송원산업,2027,1644,자체추정(김준학 2026-09-21),2026-09-21
A241770,메카로,2027,231,자체추정(김준학 2026-09-21),2026-09-21
A045100,한양이엔지,2027,1780,자체추정(김준학 2026-09-21),2026-09-21
A222040,코스맥스엔비티,2027,481,자체추정(김준학 2026-09-21),2026-09-21
A417500,제이아이테크,2027,300,자체추정(오기종 2026-09-21),2026-09-21
A085910,네오티스,2027,380,자체추정(오기종 2026-09-21),2026-09-21
A067310,하나마이크론,2027,4800,자체추정(오기종 2026-09-21),2026-09-21
A388790,라이콤,2027,100,자체추정(장민국 2026-09-21),2026-09-21
A064850,에프앤가이드,2027,396,자체추정(김준학 2026-09-21),2026-09-21
A091580,상신이디피,2027,380,자체추정(장민국 2026-09-21),2026-09-21
A089890,코세스,2027,650,자체추정(장민국 2026-09-21),2026-09-21
A237690,에스티팜,2027,1300,자체추정(장민국 2026-09-21),2026-09-21
A036540,SFA반도체,2027,850,자체추정(손민구 2026-09-21),2026-09-21
A036200,유니셈,2027,586,자체추정(손민구 2026-09-21),2026-09-21
A159010,아스플로,2027,490,자체추정(손민구 2026-09-21),2026-09-21
A079370,제우스,2027,500,자체추정(장민국 2026-09-21),2026-09-21
A006260,LS,2026,23000,자체추정(오기종 2026-09-18),2026-09-18
A126340,비나텍,2026,47,자체추정(오기종 2026-09-18),2026-09-18
A052710,아모텍,2026,100,자체추정(오기종 2026-09-18),2026-09-18
A080580,오킨스전자,2026,300,자체추정(오기종 2026-09-18),2026-09-18
A010140,삼성중공업,2026,13686,자체추정(오기종 2026-09-18),2026-09-18
A460870,에스엠씨지,2026,63,자체추정(오기종 2026-09-18),2026-09-18
A097230,HJ중공업,2026,1800,자체추정(오기종 2026-09-18),2026-09-18
A140070,서플러스글로벌,2026,5,자체추정(오기종 2026-09-18),2026-09-18
A131970,두산테스나,2026,384,자체추정(오기종 2026-09-18),2026-09-18
A194700,노바렉스,2026,500,자체추정(오기종 2026-09-21),2026-09-21
A086670,비엠티,2026,200,자체추정(오기종 2026-09-21),2026-09-21
A452280,한선엔지니어링,2026,209,자체추정(김준학 2026-09-21),2026-09-21
A041830,인바디,2026,615,자체추정(김준학 2026-09-21),2026-09-21
A125020,티씨머티리얼즈,2026,174,자체추정(김준학 2026-09-21),2026-09-21
A086450,동국제약,2026,1200,자체추정(장민국 2026-09-21),2026-09-21
A355150,코스텍시스,2026,50,자체추정(오기종 2026-09-21),2026-09-21
A004430,송원산업,2026,1533,자체추정(김준학 2026-09-21),2026-09-21
A241770,메카로,2026,192,자체추정(김준학 2026-09-21),2026-09-21
A045100,한양이엔지,2026,842,자체추정(김준학 2026-09-21),2026-09-21
A222040,코스맥스엔비티,2026,418,자체추정(김준학 2026-09-21),2026-09-21
A417500,제이아이테크,2026,220,자체추정(오기종 2026-09-21),2026-09-21
A085910,네오티스,2026,180,자체추정(오기종 2026-09-21),2026-09-21
A067310,하나마이크론,2026,4200,자체추정(오기종 2026-09-21),2026-09-21
A388790,라이콤,2026,40,자체추정(장민국 2026-09-21),2026-09-21
A064850,에프앤가이드,2026,303,자체추정(김준학 2026-09-21),2026-09-21
A091580,상신이디피,2026,300,자체추정(장민국 2026-09-21),2026-09-21
A089890,코세스,2026,400,자체추정(장민국 2026-09-21),2026-09-21
A237690,에스티팜,2026,800,자체추정(장민국 2026-09-21),2026-09-21
A036540,SFA반도체,2026,-49,자체추정(손민구 2026-09-21),2026-09-21
A036200,유니셈,2026,248,자체추정(손민구 2026-09-21),2026-09-21
A159010,아스플로,2026,245,자체추정(손민구 2026-09-21),2026-09-21
