sector,kospi_mktcap,kospi_weight_pct,kosdaq_mktcap,kosdaq_weight_pct,combined_mktcap,combined_weight_pct,asof_date
반도체와반도체장비,3222272125054642,56.687,111905149612637,24.142,3334177274667279,54.233,2026-09-18
은행,218111703832560,3.837,0,0.0,218111703832560,3.548,2026-09-18
제약,155983342650447,2.744,30661046313073,6.615,186644388963520,3.036,2026-09-18
전기제품,139380556275565,2.452,25569736183830,5.516,164950292459395,2.683,2026-09-18
조선,154213913469690,2.713,2236464551600,0.482,156450378021290,2.545,2026-09-18
전자장비와기기,130339968135189,2.293,19393360473836,4.184,149733328609025,2.436,2026-09-18
자동차,134091343918312,2.359,377796823470,0.082,134469140741782,2.187,2026-09-18
전기장비,124674315485120,2.193,6662183328730,1.437,131336498813850,2.136,2026-09-18
우주항공과국방,113985903070270,2.005,8570401338452,1.849,122556304408722,1.993,2026-09-18
복합기업,122051515019140,2.147,119220758440,0.026,122170735777580,1.987,2026-09-18
기계,76717546403525,1.35,31179416522647,6.726,107896962926172,1.755,2026-09-18
화학,77836686767752,1.369,16317037763263,3.52,94153724531015,1.531,2026-09-18
석유와가스,92237071300780,1.623,639613110470,0.138,92876684411250,1.511,2026-09-18
증권,87834606685180,1.545,1441768473836,0.311,89276375159016,1.452,2026-09-18
자동차부품,69116285869308,1.216,7813816932168,1.686,76930102801476,1.251,2026-09-18
생명보험,64398559800000,1.133,0,0.0,64398559800000,1.047,2026-09-18
IT서비스,45936272840289,0.808,11026195257699,2.379,56962468097988,0.927,2026-09-18
손해보험,54150750799200,0.953,523672673910,0.113,54674423473110,0.889,2026-09-18
건설,47617885267912,0.838,5014320684334,1.082,52632205952246,0.856,2026-09-18
양방향미디어와서비스,45243780406670,0.796,1619453798018,0.349,46863234204688,0.762,2026-09-18
화장품,40364311316135,0.71,6104020414874,1.317,46468331731009,0.756,2026-09-18
생물공학,102664612596,0.002,41317533351750,8.914,41420197964346,0.674,2026-09-18
식품,34535193835605,0.608,6407125177424,1.382,40942319013029,0.666,2026-09-18
철강,38673895104246,0.68,1495598376353,0.323,40169493480599,0.653,2026-09-18
전자제품,33619742943560,0.591,521488037870,0.113,34141230981430,0.555,2026-09-18
비철금속,29957025184040,0.527,1355235309325,0.292,31312260493365,0.509,2026-09-18
전기유틸리티,27374085367750,0.482,100714070000,0.022,27474799437750,0.447,2026-09-18
게임엔터테인먼트,19799779695250,0.348,7543560118127,1.627,27343339813377,0.445,2026-09-18
무선통신서비스,25149722983355,0.442,62333902977,0.013,25212056886332,0.41,2026-09-18
해운사,24161976160599,0.425,249697777665,0.054,24411673938264,0.397,2026-09-18
건강관리장비와용품,2074005704740,0.036,22046384553571,4.756,24120390258311,0.392,2026-09-18
항공사,22851247792387,0.402,0,0.0,22851247792387,0.372,2026-09-18
에너지장비및서비스,17797608787580,0.313,4656813134557,1.005,22454421922137,0.365,2026-09-18
"섬유,의류,신발,호화품",16588826562827,0.292,2304917675192,0.497,18893744238019,0.307,2026-09-18
항공화물운송과물류,17874680582515,0.314,107277168672,0.023,17981957751187,0.292,2026-09-18
백화점과일반상점,17690137240075,0.311,208017335475,0.045,17898154575550,0.291,2026-09-18
담배,17855398432000,0.314,0,0.0,17855398432000,0.29,2026-09-18
방송과엔터테인먼트,8802102184516,0.155,7766133401249,1.675,16568235585765,0.269,2026-09-18
통신장비,3049937812970,0.054,11897863693867,2.567,14947801506837,0.243,2026-09-18
무역회사와판매업체,14390010060640,0.253,0,0.0,14390010060640,0.234,2026-09-18
다각화된통신서비스,13357149305000,0.235,111440000000,0.024,13468589305000,0.219,2026-09-18
