date,news_sentiment_index
2005-01-01,95.36
2005-01-02,96.87
2005-01-03,100.85
2005-01-04,101.3
2005-01-05,101.79
2005-01-06,101.24
2005-01-07,101.93
2005-01-08,101.92
2005-01-09,100.74
2005-01-10,100.58
2005-01-11,101.93
2005-01-12,102.05
2005-01-13,104.16
2005-01-14,105.76
2005-01-15,105.9
2005-01-16,107.09
2005-01-17,109.09
2005-01-18,110.97
2005-01-19,112.86
2005-01-20,111.41
2005-01-21,111.54
2005-01-22,111.22
2005-01-23,110.54
2005-01-24,108.93
2005-01-25,104.94
2005-01-26,104.45
2005-01-27,105.28
2005-01-28,103.56
2005-01-29,103.39
2005-01-30,103.76
2005-01-31,103.07
2005-02-01,105.52
2005-02-02,104.95
2005-02-03,105.56
2005-02-04,108.89
2005-02-05,109.2
2005-02-06,109.88
2005-02-07,110.47
2005-02-08,110.59
2005-02-09,111.76
2005-02-10,113.17
2005-02-11,110.33
2005-02-12,111.4
2005-02-13,110.46
2005-02-14,113.58
2005-02-15,113.74
2005-02-16,112.77
2005-02-17,112.06
2005-02-18,112.6
2005-02-19,112.12
2005-02-20,112.29
2005-02-21,110.95
2005-02-22,108.54
2005-02-23,105.61
2005-02-24,105.96
2005-02-25,107.51
2005-02-26,107.2
2005-02-27,106.5
2005-02-28,105.31
2005-03-01,106.86
2005-03-02,110.8
2005-03-03,111.84
2005-03-04,111.04
2005-03-05,111.09
2005-03-06,111.71
2005-03-07,110.69
2005-03-08,108.84
2005-03-09,107.07
2005-03-10,105.36
2005-03-11,106.08
2005-03-12,106.21
2005-03-13,106.15
2005-03-14,107.96
2005-03-15,109.35
2005-03-16,108.33
2005-03-17,106.65
2005-03-18,103.48
2005-03-19,102.97
2005-03-20,100.44
2005-03-21,97.72
2005-03-22,95.54
2005-03-23,95.38
2005-03-24,95.26
2005-03-25,95.0
2005-03-26,95.59
2005-03-27,97.98
2005-03-28,100.28
2005-03-29,100.59
2005-03-30,99.2
2005-03-31,100.6
2005-04-01,102.58
2005-04-02,102.19
2005-04-03,104.32
2005-04-04,103.57
2005-04-05,105.14
2005-04-06,107.8
2005-04-07,109.77
2005-04-08,109.65
2005-04-09,109.38
2005-04-10,108.07
2005-04-11,107.35
2005-04-12,107.68
2005-04-13,107.83
2005-04-14,103.84
2005-04-15,99.22
2005-04-16,98.86
2005-04-17,97.53
2005-04-18,93.91
2005-04-19,94.46
2005-04-20,95.4
2005-04-21,95.96
2005-04-22,98.89
2005-04-23,99.01
2005-04-24,97.66
2005-04-25,100.43
2005-04-26,99.34
2005-04-27,96.78
2005-04-28,96.76
2005-04-29,93.02
2005-04-30,93.52
2005-05-01,92.08
2005-05-02,94.2
2005-05-03,95.04
2005-05-04,96.01
2005-05-05,96.2
2005-05-06,100.27
2005-05-07,100.55
2005-05-08,103.25
2005-05-09,102.17
2005-05-10,100.32
2005-05-11,98.93
2005-05-12,99.88
2005-05-13,97.59
2005-05-14,96.74
2005-05-15,97.21
2005-05-16,98.35
2005-05-17,98.42
2005-05-18,97.32
2005-05-19,98.24
2005-05-20,99.34
2005-05-21,99.84
2005-05-22,101.06
2005-05-23,100.91
2005-05-24,101.65
2005-05-25,104.61
2005-05-26,104.08
2005-05-27,107.48
2005-05-28,107.87
2005-05-29,108.47
2005-05-30,106.61
2005-05-31,106.57
2005-06-01,105.73
2005-06-02,106.15
2005-06-03,105.76
2005-06-04,105.39
2005-06-05,103.49
2005-06-06,102.62
2005-06-07,103.39
2005-06-08,105.69
2005-06-09,104.13
2005-06-10,101.88
2005-06-11,102.08
2005-06-12,102.19
2005-06-13,102.64
2005-06-14,100.67
2005-06-15,98.74
2005-06-16,99.97
2005-06-17,100.49
2005-06-18,99.81
2005-06-19,99.21
2005-06-20,100.44
2005-06-21,99.6
2005-06-22,99.79
2005-06-23,100.63
2005-06-24,99.88
2005-06-25,99.9
2005-06-26,99.42
2005-06-27,98.18
2005-06-28,99.95
2005-06-29,101.76
2005-06-30,101.05
2005-07-01,103.43
2005-07-02,104.07
2005-07-03,105.79
2005-07-04,108.12
2005-07-05,109.82
2005-07-06,109.2
2005-07-07,109.68
2005-07-08,107.14
2005-07-09,106.88
2005-07-10,105.83
2005-07-11,107.14
2005-07-12,106.95
2005-07-13,107.37
2005-07-14,108.24
2005-07-15,109.43
2005-07-16,109.64
2005-07-17,112.12
2005-07-18,109.56
2005-07-19,109.74
2005-07-20,110.1
2005-07-21,107.71
2005-07-22,105.21
2005-07-23,104.98
2005-07-24,102.28
2005-07-25,104.8
2005-07-26,103.74
2005-07-27,104.79
2005-07-28,107.75
2005-07-29,109.72
2005-07-30,110.0
2005-07-31,110.68
2005-08-01,111.19
2005-08-02,111.18
2005-08-03,109.43
2005-08-04,105.91
2005-08-05,102.01
2005-08-06,101.71
2005-08-07,100.28
2005-08-08,96.2
2005-08-09,95.84
2005-08-10,95.21
2005-08-11,98.02
2005-08-12,102.18
2005-08-13,102.2
2005-08-14,103.36
2005-08-15,103.78
2005-08-16,103.89
2005-08-17,102.2
2005-08-18,98.09
2005-08-19,96.64
2005-08-20,96.73
2005-08-21,95.14
2005-08-22,96.79
2005-08-23,96.73
2005-08-24,95.85
2005-08-25,96.75
2005-08-26,95.8
2005-08-27,95.23
2005-08-28,93.54
2005-08-29,88.3
2005-08-30,88.11
2005-08-31,89.1
2005-09-01,91.0
2005-09-02,94.26
2005-09-03,94.49
2005-09-04,98.96
2005-09-05,103.73
2005-09-06,104.66
2005-09-07,109.02
2005-09-08,110.48
2005-09-09,110.68
2005-09-10,111.34
2005-09-11,110.83
2005-09-12,112.85
2005-09-13,112.71
2005-09-14,110.28
2005-09-15,106.27
2005-09-16,105.75
2005-09-17,105.92
2005-09-18,105.9
2005-09-19,104.35
2005-09-20,108.96
