code,year,op_100mil,fetched_date
A000760,2022,-8.8,2026-08-18
A000760,2023,-18.1,2026-08-18
A000760,2024,7.7,2026-08-18
A000760,2025,-1.6,2026-08-18
A180640,2022,144.9,2026-08-18
A180640,2023,428.4,2026-08-18
A180640,2024,491.9,2026-08-18
A180640,2025,-75.2,2026-08-18
A307750,2022,35.1,2026-08-18
A307750,2023,65.0,2026-08-18
A307750,2024,3.7,2026-08-18
A307750,2025,-25.8,2026-08-18
A417200,2022,144.6,2026-08-18
A417200,2023,135.7,2026-08-18
A417200,2024,62.0,2026-08-18
A417200,2025,-1.4,2026-08-18
A056360,2022,3.0,2026-08-18
A056360,2023,-26.0,2026-08-18
A056360,2024,-76.3,2026-08-18
A056360,2025,3.1,2026-08-18
A457190,2023,-61.2,2026-08-18
A457190,2024,142.1,2026-08-18
A457190,2025,16.2,2026-08-18
A457190,2026,-9.0,2026-08-18
A457190,2027,-17.0,2026-08-18
A027830,2022,10.2,2026-08-18
A027830,2023,20.5,2026-08-18
A027830,2024,102.4,2026-08-18
A027830,2025,8.0,2026-08-18
A382840,2022,108.9,2026-08-18
A382840,2023,46.4,2026-08-18
A382840,2024,124.3,2026-08-18
A382840,2025,69.8,2026-08-18
A024060,2022,16.9,2026-08-18
A024060,2023,0.9,2026-08-18
A024060,2024,-2.8,2026-08-18
A024060,2025,-9.9,2026-08-18
A217190,2022,85.2,2026-08-18
A217190,2023,35.6,2026-08-18
A217190,2024,65.4,2026-08-18
A217190,2025,10.3,2026-08-18
A011690,2022,17.8,2026-08-18
A011690,2023,19.1,2026-08-18
A011690,2024,28.9,2026-08-18
A011690,2025,-25.7,2026-08-18
A440320,2022,6.9,2026-08-18
A440320,2023,13.5,2026-08-18
A440320,2024,1.0,2026-08-18
A440320,2025,-27.6,2026-08-18
A007390,2022,-89.1,2026-08-18
A007390,2023,-102.7,2026-08-18
A007390,2024,6.0,2026-08-18
A007390,2025,-36.5,2026-08-18
A448280,2022,200.3,2026-08-18
A448280,2023,182.3,2026-08-18
A448280,2024,2.0,2026-08-18
A448280,2025,9.5,2026-08-18
A004410,2022,13.1,2026-08-18
A004410,2023,5.9,2026-08-18
A004410,2024,-22.3,2026-08-18
A004410,2025,-4.6,2026-08-18
A041520,2022,-95.0,2026-08-18
A041520,2023,-73.1,2026-08-18
A041520,2024,-46.8,2026-08-18
A041520,2025,-9.0,2026-08-18
A115530,2022,13.8,2026-08-18
A115530,2023,9.6,2026-08-18
A115530,2024,-0.4,2026-08-18
A115530,2025,3.7,2026-08-18
A078130,2022,-110.5,2026-08-18
A078130,2023,-16.1,2026-08-18
A078130,2024,-12.9,2026-08-18
A078130,2025,-5.0,2026-08-18
A376900,2022,-138.8,2026-08-18
A376900,2023,-73.8,2026-08-18
A376900,2024,-55.7,2026-08-18
A376900,2025,4.5,2026-08-18
A376900,2026,-74.0,2026-08-18
A437730,2022,27.5,2026-08-18
A437730,2023,98.0,2026-08-18
A437730,2024,55.2,2026-08-18
A437730,2025,8.1,2026-08-18
A466100,2023,-57.6,2026-08-18
A466100,2024,-74.9,2026-08-18
A466100,2025,-31.8,2026-08-18
A289930,2023,-95.2,2026-08-18
A289930,2024,-48.6,2026-08-18
A289930,2025,6.3,2026-08-18
A110020,2022,-31.4,2026-08-18
A110020,2023,-12.4,2026-08-18
A110020,2024,11.6,2026-08-18
A110020,2025,-3.4,2026-08-18
A090360,2022,17.9,2026-08-18
A090360,2023,11.4,2026-08-18
A090360,2024,1.5,2026-08-18
A090360,2025,-56.6,2026-08-18
A464580,2022,-25.2,2026-08-18
A464580,2023,8.1,2026-08-18
A464580,2024,10.2,2026-08-18
A464580,2025,1.2,2026-08-18
A005800,2022,66.1,2026-08-18
A005800,2023,21.6,2026-08-18
A005800,2024,27.6,2026-08-18
A005800,2025,12.9,2026-08-18
A047820,2022,55.9,2026-08-18
A047820,2023,-3.0,2026-08-18
A047820,2024,-153.8,2026-08-18
A047820,2025,28.3,2026-08-18
A389650,2022,-57.7,2026-08-18
A389650,2023,-52.3,2026-08-18
A389650,2024,-35.7,2026-08-18
A389650,2025,-7.2,2026-08-18
A389650,2026,-60.7,2026-08-18
A389650,2027,-14.0,2026-08-18
A389650,2028,48.0,2026-08-18
A032820,2022,48.0,2026-08-18
A032820,2023,66.8,2026-08-18
A032820,2024,5.5,2026-08-18
A032820,2025,-54.9,2026-08-18
A016800,2022,326.6,2026-08-18
A016800,2023,352.4,2026-08-18
A016800,2024,214.8,2026-08-18
A016800,2025,57.4,2026-08-18
A032300,2022,61.9,2026-08-18
A032300,2023,62.7,2026-08-18
A032300,2024,60.9,2026-08-18
A032300,2025,-8.9,2026-08-18
A041590,2022,-135.2,2026-08-18
A041590,2023,-229.6,2026-08-18
A041590,2024,-79.6,2026-08-18
A041590,2025,-19.6,2026-08-18
A008830,2022,75.9,2026-08-18
A008830,2023,80.9,2026-08-18
A008830,2024,44.6,2026-08-18
A008830,2025,1.6,2026-08-18
A087010,2022,-152.3,2026-08-18
A087010,2023,-158.8,2026-08-18
A087010,2024,-165.3,2026-08-18
A087010,2025,-212.6,2026-08-18
A005010,2022,2892.2,2026-08-18
A005010,2023,1232.1,2026-08-18
A005010,2024,170.8,2026-08-18
A005010,2025,34.9,2026-08-18
A008420,2022,30.1,2026-08-18
A008420,2023,-34.4,2026-08-18
A008420,2024,-21.3,2026-08-18
A008420,2025,-9.6,2026-08-18
A416180,2022,78.9,2026-08-18
A416180,2023,83.7,2026-08-18
A416180,2024,88.1,2026-08-18
A416180,2025,22.7,2026-08-18
A361570,2022,28.2,2026-08-18
A361570,2023,-22.5,2026-08-18
A361570,2024,-122.1,2026-08-18
A361570,2025,1.7,2026-08-18
A011150,2022,41.4,2026-08-18
A011150,2023,41.4,2026-08-18
A011150,2024,43.6,2026-08-18
A011150,2025,-9.1,2026-08-18
A469750,2022,18.6,2026-08-18
A469750,2023,27.7,2026-08-18
A469750,2024,23.9,2026-08-18
A469750,2025,-3.9,2026-08-18
A025890,2022,-5.2,2026-08-18
A025890,2023,24.2,2026-08-18
A025890,2024,10.7,2026-08-18
A025890,2025,-1.8,2026-08-18
A432980,2022,6.1,2026-08-18
A432980,2023,7.2,2026-08-18
A432980,2024,14.6,2026-08-18
A432980,2025,3.0,2026-08-18
A084680,2022,146.1,2026-08-18
A084680,2023,79.2,2026-08-18
A084680,2024,-4.2,2026-08-18
A084680,2025,-31.8,2026-08-18
A048550,2022,20.0,2026-08-18
A048550,2023,20.9,2026-08-18
A048550,2024,15.9,2026-08-18
A048550,2025,-12.9,2026-08-18
A484810,2022,41.4,2026-08-18
A484810,2023,35.5,2026-08-18
A484810,2024,52.7,2026-08-18
A484810,2025,-7.7,2026-08-18
A344860,2022,14.9,2026-08-18
A344860,2023,12.3,2026-08-18
A344860,2024,6.3,2026-08-18
A344860,2025,0.0,2026-08-18
A109820,2022,-15.2,2026-08-18
A109820,2023,-25.5,2026-08-18
A109820,2024,-16.4,2026-08-18
A109820,2025,-6.8,2026-08-18
A059270,2022,-12.7,2026-08-18
A059270,2023,-15.0,2026-08-18
A059270,2024,-7.2,2026-08-18
A059270,2025,-6.2,2026-08-18
A015020,2022,-31.7,2026-08-18
A015020,2023,-16.6,2026-08-18
A015020,2024,-32.9,2026-08-18
A015020,2025,-4.1,2026-08-18
A030530,2022,1050.0,2026-08-18
A030530,2023,457.7,2026-08-18
A030530,2024,306.1,2026-08-18
A030530,2025,-4.2,2026-08-18
A220180,2022,4.6,2026-08-18
A220180,2023,-9.7,2026-08-18
A220180,2024,-19.9,2026-08-18
A220180,2025,-4.8,2026-08-18
A245620,2022,-95.2,2026-08-18
A245620,2023,-93.6,2026-08-18
A245620,2024,-126.3,2026-08-18
A245620,2025,-16.0,2026-08-18
A293580,2022,111.1,2026-08-18
A293580,2023,24.6,2026-08-18
A293580,2024,90.1,2026-08-18
A293580,2025,73.0,2026-08-18
A377460,2022,222.6,2026-08-18
A377460,2023,-1061.4,2026-08-18
A377460,2024,-9.3,2026-08-18
A377460,2025,-19.1,2026-08-18
A140410,2022,-233.3,2026-08-18
A140410,2023,-144.9,2026-08-18
A140410,2024,-143.0,2026-08-18
A140410,2025,-167.7,2026-08-18
A127120,2022,-51.5,2026-08-18
A127120,2023,-43.4,2026-08-18
A127120,2024,-91.1,2026-08-18
A127120,2025,-124.9,2026-08-18
A039340,2022,84.4,2026-08-18
A039340,2023,51.3,2026-08-18
A039340,2024,11.3,2026-08-18
A039340,2025,-23.8,2026-08-18
A010660,2022,12.8,2026-08-18
A010660,2023,-30.4,2026-08-18
A010660,2024,20.3,2026-08-18
A010660,2025,2.3,2026-08-18
A073540,2022,-44.9,2026-08-18
A073540,2023,-5.0,2026-08-18
A073540,2024,8.1,2026-08-18
A073540,2025,9.2,2026-08-18
A051780,2022,14.9,2026-08-18
A051780,2023,6.9,2026-08-18
A051780,2024,-26.6,2026-08-18
A051780,2025,-0.1,2026-08-18
A192410,2022,-160.4,2026-08-18
A192410,2023,-84.9,2026-08-18
A192410,2024,-64.9,2026-08-18
A192410,2025,-18.5,2026-08-18
A079650,2022,-4.9,2026-08-18
A079650,2023,-15.8,2026-08-18
A079650,2024,-24.9,2026-08-18
A079650,2025,-33.3,2026-08-18
A209640,2023,91.6,2026-08-18
A209640,2024,-12.7,2026-08-18
A209640,2025,-34.7,2026-08-18
A025440,2022,23.2,2026-08-18
