종목명,연도,매출액,영업이익
로보티즈,2020,19231375419.0,-1764338548.0
로보티즈,2021,22358193241.0,-928967630.0
로보티즈,2022,25856449323.0,-2160534050.0
로보티즈,2023,29127949488.0,-5298796747.0
로보티즈,2024,30038231053.0,-2973503944.0
로보티즈,2025,38942547006.0,3346038655.0
토모큐브,2024,5938649975.0,-8779777619.0
토모큐브,2025,11306726320.0,-5568879088.0
SFA반도체,2020,573077540339.0,34282018123.0
SFA반도체,2021,641108819687.0,66496309132.0
SFA반도체,2022,699412110637.0,62881247628.0
SFA반도체,2023,437586077155.0,-16710120338.0
SFA반도체,2024,400482861805.0,-31004226.0
SFA반도체,2025,367389147993.0,-19626671175.0
케이엠더블유,2025,97518624961.0,-23765618321.0
덕산테코피아,2020,78379152080.0,14047284623.0
덕산테코피아,2021,112383155917.0,21980938749.0
덕산테코피아,2022,111005121065.0,9261039886.0
덕산테코피아,2023,94076712274.0,-6225474421.0
덕산테코피아,2024,99694431512.0,-30219465064.0
덕산테코피아,2025,112078954483.0,-43026410473.0
그래피,2025,20532799353.0,-11053753180.0
SK케미칼,2020,1214709208859.0,106282993816.0
SK케미칼,2021,2089631876416.0,555185910439.0
SK케미칼,2022,1829191322924.0,230480673367.0
SK케미칼,2023,1748777740387.0,83302487079.0
SK케미칼,2024,1736778902011.0,-45175568334.0
SK케미칼,2025,2365164441719.0,-207363696.0
필옵틱스,2020,188890116710.0,1794118956.0
필옵틱스,2021,230791827975.0,-10525310027.0
필옵틱스,2022,303987727889.0,18085152488.0
필옵틱스,2023,300001066109.0,10265296884.0
필옵틱스,2024,410893768511.0,13796035047.0
필옵틱스,2025,103440867014.0,-34892060535.0
제주항공,2020,377045660697.0,-335816214073.0
제주항공,2021,273079199084.0,-317159495233.0
제주항공,2022,702503275808.0,-177502073624.0
제주항공,2023,1724008542239.0,169792117648.0
제주항공,2024,1935791972257.0,79912336894.0
제주항공,2025,1579940872409.0,-111660044639.0
삼천당제약,2020,166862333786.0,5522905191.0
삼천당제약,2021,167274903875.0,-15293087301.0
삼천당제약,2022,177335410013.0,12224651499.0
삼천당제약,2023,192668515628.0,9559814333.0
삼천당제약,2024,210923804522.0,2641971274.0
삼천당제약,2025,231805277738.0,8466512950.0
인텍플러스,2020,56259572311.0,7018451915.0
인텍플러스,2021,119661105867.0,27531343673.0
인텍플러스,2022,118836726448.0,19363287600.0
인텍플러스,2023,74802246295.0,-11091735610.0
인텍플러스,2024,83873419602.0,-15587344842.0
인텍플러스,2025,89765092570.0,-3734628764.0
삼아알미늄,2020,197013476791.0,7380512541.0
삼아알미늄,2021,252965524544.0,15447143092.0
삼아알미늄,2022,312055883421.0,22571051710.0
삼아알미늄,2023,268023420437.0,3770590732.0
삼아알미늄,2024,251733337646.0,-9590561021.0
삼아알미늄,2025,271458652401.0,-17647393573.0
한올바이오파마,2020,88602270090.0,5935188193.0
한올바이오파마,2021,101594443691.0,10099118837.0
한올바이오파마,2022,109995418981.0,1505787596.0
한올바이오파마,2023,134909837622.0,2211359603.0
한올바이오파마,2024,138943698757.0,230474890.0
한올바이오파마,2025,155184524107.0,-915814382.0
오이솔루션,2020,103177709919.0,7332870050.0
오이솔루션,2021,98680738387.0,1654881565.0
오이솔루션,2022,76953984689.0,-8705147021.0
오이솔루션,2023,46002760622.0,-31080650276.0
오이솔루션,2024,32026596164.0,-30358233797.0
오이솔루션,2025,57377286181.0,-15998970339.0
LG에너지솔루션,2020,1461068000000.0,
LG에너지솔루션,2021,17851906000000.0,768470000000.0
LG에너지솔루션,2022,25598609000000.0,1213719000000.0
LG에너지솔루션,2023,33745470000000.0,2163234000000.0
LG에너지솔루션,2024,25619585000000.0,575387000000.0
LG에너지솔루션,2025,23671759000000.0,1346120000000.0
삼성SDI,2020,11294770446035.0,671335358424.0
삼성SDI,2021,13553220248796.0,1067575600497.0
삼성SDI,2022,20124069515854.0,1808013013202.0
삼성SDI,2023,22708300498633.0,1633368964768.0
삼성SDI,2024,16592248884388.0,363304463263.0
삼성SDI,2025,13266730679499.0,
아스테라시스,2024,28833182740.0,6664217644.0
아스테라시스,2025,37943714291.0,10392032060.0
오스코텍,2020,43470793384.0,1580436682.0
오스코텍,2021,3902734752.0,-28096765516.0
오스코텍,2022,5062376493.0,-28638371344.0
오스코텍,2023,4950929999.0,-32655289595.0
오스코텍,2024,34007602680.0,-2733857885.0
오스코텍,2025,99838669222.0,52081332705.0
HEM파마,2025,12979352490.0,-15583461635.0
비나텍,2020,46690215449.0,6362032876.0
비나텍,2021,48958076351.0,5625405971.0
비나텍,2022,70656753558.0,9351006048.0
비나텍,2023,54964094324.0,3036206471.0
비나텍,2024,59591709951.0,-8067980363.0
비나텍,2025,82228905359.0,1773717709.0
율촌화학,2020,520654569706.0,26719627349.0
율촌화학,2021,538734197699.0,11020409544.0
율촌화학,2022,508944089593.0,-4622788865.0
율촌화학,2023,414490610375.0,-16200386104.0
율촌화학,2024,457078095305.0,
율촌화학,2025,485382903935.0,8514206208.0
스피어,2023,3325344082.0,
스피어,2024,2557761611.0,
스피어,2025,95638566409.0,9052274666.0
바이오다인,2025,7027675925.0,652257064.0
SBS,2020,860343114358.0,69052835346.0
SBS,2021,1078975236959.0,184436850625.0
SBS,2022,1173781580894.0,185603490383.0
SBS,2023,996763613264.0,58323294148.0
SBS,2024,1046651436608.0,-19185289826.0
SBS,2025,1008457955402.0,18151260224.0
LS마린솔루션,2024,130279123723.0,12392667090.0
LS마린솔루션,2025,244205074557.0,7009301321.0
E1,2020,3927554236615.0,39530859081.0
E1,2021,5152300897477.0,5575314498.0
E1,2022,7990767897663.0,278730692433.0
E1,2023,7827737066529.0,93175065859.0
E1,2024,11192411812013.0,217605533069.0
E1,2025,10392522604756.0,324063026338.0
두산로보틱스,2023,53038372299.0,
두산로보틱스,2024,46829943837.0,
두산로보틱스,2025,32978338354.0,-59472307590.0
한진,2020,2215686640850.0,105917310389.0
한진,2021,2504131193753.0,99432891702.0
한진,2022,2849420869433.0,114501782947.0
한진,2023,2807528782563.0,122526979246.0
한진,2024,3015479161930.0,100088306580.0
한진,2025,3064925190779.0,112195809190.0
LG화학,2020,30076510000000.0,1798159000000.0
LG화학,2021,42654722000000.0,5025466000000.0
LG화학,2022,51864888000000.0,2995698000000.0
LG화학,2023,55249785000000.0,2529196000000.0
LG화학,2024,48916104000000.0,916798000000.0
LG화학,2025,45932167000000.0,1180900000000.0
제이앤티씨,2020,347772920401.0,74903660644.0
제이앤티씨,2021,202595050531.0,-30743056761.0
제이앤티씨,2022,161325172108.0,-44329077466.0
제이앤티씨,2023,323436932669.0,28538516087.0
제이앤티씨,2024,273239103365.0,-46091032142.0
제이앤티씨,2025,185653161156.0,-77996088398.0
레인보우로보틱스,2020,5426966654.0,-1348800253.0
레인보우로보틱스,2021,8969574693.0,-1030713533.0
레인보우로보틱스,2022,13615411936.0,1300876285.0
레인보우로보틱스,2023,15258134872.0,-44589778382.0
레인보우로보틱스,2024,19346780087.0,-2978979764.0
레인보우로보틱스,2025,34123110054.0,-2480266118.0
기가비스,2025,52434995936.0,12100818200.0
두산테스나,2024,373117930000.0,37923282000.0
파두,2023,22470905715.0,-58569439226.0
파두,2024,43502744974.0,-95048300908.0
파두,2025,92419333233.0,
예스티,2020,66089641038.0,463586434.0
예스티,2021,72405194962.0,-11102089873.0
예스티,2022,75993760726.0,-16881819932.0
예스티,2023,79808251218.0,-411044492.0
예스티,2024,100095115191.0,11262295552.0
예스티,2025,87055847267.0,3792979984.0
주성엔지니어링,2020,118545864748.0,-25033172721.0
주성엔지니어링,2021,377294631076.0,102611062636.0
주성엔지니어링,2022,437938720318.0,123884000542.0
주성엔지니어링,2023,284745246660.0,28937462812.0
주성엔지니어링,2024,409393371588.0,97196211588.0
주성엔지니어링,2025,310692584812.0,31257811742.0
KG모빌리티,2020,2950180719134.0,-449388656761.0
KG모빌리티,2021,2429327700801.0,-261260796567.0
KG모빌리티,2022,3423340873291.0,-111950027111.0
KG모빌리티,2023,3736368968570.0,12547597407.0
KG모빌리티,2024,3905069387798.0,1432909587.0
KG모빌리티,2025,4303636808271.0,36155571131.0
성일하이텍,2022,269895520527.0,48313488557.0
성일하이텍,2023,247367786854.0,-8338433228.0
성일하이텍,2024,136215012576.0,-71393158346.0
성일하이텍,2025,194629131476.0,-54533608529.0
