종목명,상태,2026Q2_매출액,2025Q2_매출액,매출액_YoY,2026Q2_영업이익,2025Q2_영업이익,영업이익_YoY
로보티즈,no_data,,-2345893631.0,,,-585282851.0,
토모큐브,no_data,,2489598621.0,,,1885214370.0,
SFA반도체,no_data,,845402519.0,,,-707542959.0,
케이엠더블유,no_data,,,,,,
덕산테코피아,no_data,,4717688498.0,,,1015713255.0,
그래피,no_data,,,,,,
SK케미칼,no_data,,60240955287.0,,,-25244373258.0,
필옵틱스,no_data,,1133177254.0,,,-5227303949.0,
사피엔반도체,no_data,,,,,,
제주항공,no_data,,-52290532617.0,,,-9304405868.0,
동운아나텍,no_data,,,,,,
삼천당제약,no_data,,6282207410.0,,,-1767274363.0,
인텍플러스,no_data,,10742455777.0,,,6051928585.0,
삼아알미늄,no_data,,1317761822.0,,,-768260281.0,
한올바이오파마,no_data,,4531110226.0,,,1540279702.0,
오이솔루션,no_data,,1806479929.0,,,1678383106.0,
LG에너지솔루션,no_data,,-699587000000.0,,,117486000000.0,
삼성SDI,no_data,,2588334575.0,,,,
아스테라시스,no_data,,3647076468.0,,,3246252791.0,
오스코텍,no_data,,8080262581.0,,,7690724509.0,
HEM파마,no_data,,-664129904.0,,,-540084840.0,
비나텍,no_data,,4950571865.0,,,3366481435.0,
율촌화학,no_data,,-13179735708.0,,,-9081774448.0,
코스모신소재,no_data,,,,,,
스피어,no_data,,-2991251408.0,,,-2219293390.0,
바이오다인,no_data,,,,,,
SBS,no_data,,61983596312.0,,,,
LS마린솔루션,no_data,,22506532141.0,,,397031286.0,
E1,no_data,,-500233284830.0,,,-4566190520.0,
두산로보틱스,no_data,,-747239962.0,,,,
한진,no_data,,11679652070.0,,,9679762418.0,
LG화학,no_data,,-753304000000.0,,,29812000000.0,
제이앤티씨,no_data,,8036504875.0,,,-9677531011.0,
레인보우로보틱스,no_data,,2038705615.0,,,-654202484.0,
기가비스,no_data,,,,,,
두산테스나,no_data,,,,,,
파두,no_data,,4460387405.0,,,,
예스티,no_data,,-1317477198.0,,,629950996.0,
주성엔지니어링,no_data,,-42054260545.0,,,-27332203335.0,
KG모빌리티,no_data,,69848760076.0,,,2331598322.0,
성일하이텍,no_data,,,,,-1949445129.0,
세아제강지주,no_data,,73883091962.0,,,20015783547.0,
성호전자,no_data,,-2714568657.0,,,-276528650.0,
펨트론,no_data,,5618881659.0,,,3277808729.0,
서진시스템,no_data,,-22691232674.0,,,-26837085881.0,
서울반도체,no_data,,12351018812.0,,,12777577366.0,
쎄트렉아이,no_data,,4443503995.0,,,283658502.0,
가온전선,no_data,,,,,,
자이에스앤디,no_data,,24270279306.0,,,7883513129.0,
LIG아큐버,no_data,,7035973333.0,,,,
오킨스전자,no_data,,8199874931.0,,,1533099226.0,
한중엔시에스,no_data,,3325717182.0,,,1025333497.0,
에이디테크놀로지,no_data,,1386357637.0,,,531895646.0,
위메이드,no_data,,-25013082737.0,,,-17211878264.0,
에코프로비엠,no_data,,149927807022.0,,,46731000193.0,
삼성전기,no_data,,45980032303.0,,,12458312742.0,
대한항공,no_data,,-281156147764.0,,,-60962385273.0,
네오티스,no_data,,-1570553678.0,,,-395466903.0,
한화시스템,no_data,,78089843356.0,,,-24712880527.0,
넥스틴,no_data,,6075313752.0,,,-833757486.0,
엠케이전자,no_data,,52480361069.0,,,12913389168.0,
현대제철,no_data,,382089915476.0,,,120796161861.0,
에코프로머티,no_data,,,,,,
신성이엔지,no_data,,,,,,
한스바이오메드,no_data,,-6110675772.0,,,-295773058.0,
포스코퓨처엠,no_data,,-184456910931.0,,,-16376820805.0,
알테오젠,no_data,,-65053077797.0,,,-61443856128.0,
지엔씨에너지,no_data,,-5450364310.0,,,-2780462357.0,
엑시콘,no_data,,,,,2826570450.0,
테크윙,no_data,,14306437701.0,,,4577704732.0,
디케이티,no_data,,32350492678.0,,,5781378116.0,
에어부산,no_data,,,,,,
에스티아이,no_data,,3121165683.0,,,144266210.0,
나노신소재,no_data,,7015446572.0,,,1551764497.0,
하이브,no_data,,205035728000.0,,,44296434000.0,
케이뱅크,no_data,,,,,,
파인엠텍,no_data,,32933641495.0,,,8232506876.0,
태광,no_data,,9681067191.0,,,252976484.0,
에이치브이엠,no_data,,,,,,
DI동일,corp_code_not_found,,,,,,
엘앤씨바이오,no_data,,2825101846.0,,,188015285.0,
KCC글라스,corp_code_not_found,,,,,,
현대힘스,no_data,,3954932199.0,,,1018804322.0,
심텍,no_data,,37169906614.0,,,21867207110.0,
온코닉테라퓨틱스,no_data,,,,,,
아이센스,no_data,,520272647.0,,,-1554537107.0,
네패스아크,no_data,,,,,,
에코프로에이치엔,no_data,,4568295889.0,,,257824562.0,
덕산하이메탈,no_data,,13257004433.0,,,3973228347.0,
삼성생명,no_data,,,,,161449000000.0,
엘티씨,no_data,,-14526422477.0,,,-4513471170.0,
한국자산신탁,no_data,,376857462.0,,,-9391259354.0,
한국피아이엠,no_data,,281789437.0,,,-413662393.0,
상아프론테크,no_data,,4056352068.0,,,490679465.0,
에프에스티,no_data,,7504707108.0,,,-1024411636.0,
유한양행,no_data,,87423030149.0,,,43441343750.0,
한화엔진,no_data,,,,,,
드림텍,no_data,,-49790633455.0,,,-1115805693.0,
태웅,no_data,,,,,,
상신이디피,no_data,,2960529315.0,,,4775036759.0,
한국항공우주,no_data,,129079743767.0,,,38403024592.0,
SK오션플랜트,no_data,,-16510710578.0,,,4509978756.0,
제닉,no_data,,6820811656.0,,,1699583502.0,
OCI홀딩스,no_data,,-171900937000.0,,,-129052732000.0,
RF머트리얼즈,no_data,,4757093691.0,,,1036190685.0,
인탑스,no_data,,-17288741875.0,,,-9976367863.0,
롯데케미칼,no_data,,-704690234219.0,,,,
인텔리안테크,no_data,,31385564211.0,,,13802034777.0,
파미셀,no_data,,,,,,
CJ ENM,no_data,,,,,27905808295.0,
코리아써키트,no_data,,-23239981038.0,,,7822445627.0,
유니셈,no_data,,19531037711.0,,,-2670810700.0,
아세아시멘트,no_data,,63902922000.0,,,30557558000.0,
LB세미콘,no_data,,-1124346902.0,,,703263146.0,
선익시스템,no_data,,174160833146.0,,,41756240508.0,
뉴로메카,no_data,,267046993.0,,,-146761534.0,
