종목명,상태,공시일,매출액_당기(억원),매출액_YoY(%),매출액_흑자적자전환_YoY,영업이익_당기(억원),영업이익_YoY(%),영업이익_흑자적자전환_YoY
삼성전자,ok,20260730.0,1715000.0,130.0,,894900.0,1813.83,
SK하이닉스,ok,20260729.0,793187.46,256.8,,605426.08,557.2,
삼성전자우,code_not_found,,,,,,,
삼성전기,ok,20260730.0,34572.05,24.2,,4403.69,106.7,
LG에너지솔루션,ok,20260730.0,75602.0,24.8,,1133.0,-77.0,
현대차,code_not_found,,,,,,,
삼성바이오로직스,ok,20260723.0,13209.0,30.2,,5864.0,22.9,
KB금융,ok,20260723.0,317573.81,31.23,,27125.48,27.17,
한화에어로스페이스,ok,20260731.0,92929.0,47.2,,13655.0,58.5,
HD현대중공업,ok,20260729.0,63136.0,52.3,,10357.0,120.7,
기아,ok,20260803.0,,,,,,
신한지주,ok,20260723.0,39926.65,78.68,,2663.48,12.89,
두산에너빌리티,ok,20260727.0,47248.08,3.0,,3142.6,16.0,
셀트리온,ok,20260727.0,13937.0,44.95,,4518.0,86.31,
현대모비스,ok,20260724.0,163246.96,2.44,,9751.58,12.09,
삼성SDI,ok,20260730.0,37688.0,18.5,,2038.0,,흑자전환
하나금융지주,ok,20260724.0,117158.44,164.02,,2036.73,783.27,
NAVER,ok,20260807.0,19292.0,13.1,,4390.0,-10.5,
LS ELECTRIC,code_not_found,,,,,,,
LG전자,ok,20260730.0,238265.0,14.9,,15791.0,147.0,
삼성화재,code_not_found,,,,,,,
HD한국조선해양,ok,20260729.0,3454.0,146.2,,-2.0,97.8,
HD현대일렉트릭,ok,20260728.0,11418.0,26.0,,2870.0,37.3,
한화오션,ok,20260727.0,54432.0,65.2,,7361.0,98.0,
효성중공업,ok,20260731.0,16869.78,10.6,,2642.87,60.89,
POSCO홀딩스,ok,20260730.0,94200.0,5.2,,2700.0,-46.6,
고려아연,ok,20260805.0,63726.01,66.6,,5871.13,126.8,
한국전력,code_not_found,,,,,,,
SK이노베이션,ok,20260730.0,291572.06,49.9,,34872.97,,흑자전환
KT&G,code_not_found,,,,,,,
LG화학,ok,20260731.0,141759.0,19.0,,5996.0,25.8,
삼성중공업,ok,20260724.0,32307.0,20.4,,3250.0,58.7,
두산,ok,20260727.0,55861.0,5.0,,4884.0,37.8,
SK텔레콤,ok,20260805.0,43591.0,0.47,,5660.0,67.34,
한미반도체,ok,20260714.0,2511.63,39.5,,1303.46,51.0,
HD현대,ok,20260731.0,224094.0,30.2,,41246.0,262.2,
카카오,ok,20260806.0,20984.56,3.5,,2770.16,49.0,
삼성에스디에스,ok,20260730.0,37177.74,5.9,,2318.05,0.7,
기업은행,ok,20260727.0,96649.84,-5.7,,9151.02,-1.3,
알테오젠,ok,20260807.0,688.94,269.5,,341.8,,흑자전환
현대로템,ok,20260724.0,16060.51,13.3,,2323.83,-9.7,
현대글로비스,ok,20260723.0,87053.66,15.8,,4950.63,-8.1,
S-Oil,ok,20260803.0,113434.88,40.9,,9650.15,,흑자전환
한국항공우주,ok,20260729.0,11679.0,41.0,,484.0,-43.1,
에이피알,ok,20260805.0,7675.33,134.2,,1905.53,134.5,
포스코퓨처엠,ok,20260730.0,6794.57,2.8,,266.89,3351.2,
KT,code_not_found,,,,,,,
한화시스템,ok,20260728.0,11175.52,45.48,,1036.7,218.83,
LG이노텍,ok,20260727.0,55272.41,40.5,,2457.54,2057.3,
현대건설,ok,20260731.0,68423.0,-11.4,,2618.0,20.7,
에코프로,ok,20260804.0,8208.14,-11.9,,329.0,102.7,
현대오토에버,ok,20260729.0,12507.39,20.0,,905.47,11.3,
크래프톤,ok,20260729.0,12902.0,94.9,,4109.0,67.0,
카카오뱅크,ok,20260805.0,8289.8,6.55,,1939.77,14.02,
한국금융지주,ok,20260806.0,135537.86,92.7,,13441.73,129.56,
에코프로비엠,ok,20260731.0,5767.12,-26.0,,180.11,-63.2,
NH투자증권,ok,20260723.0,128481.52,207.79,,6812.44,111.62,
삼성에피스홀딩스,ok,20260724.0,3918.93,,,587.37,,
포스코인터내셔널,ok,20260730.0,96232.0,18.4,,4290.0,26.9,
대한항공,ok,20260713.0,50199.0,25.9,,2618.0,-34.4,
삼성E&A,ok,20260723.0,26093.31,19.8,,2730.87,51.0,
HD현대마린솔루션,ok,20260727.0,5804.0,24.1,,976.0,17.6,
아모레퍼시픽,ok,20260730.0,11758.99,17.0,,1173.38,59.3,
삼성증권,ok,20260804.0,96638.57,111.6,,6757.95,119.0,
하이브,ok,20260728.0,14500.0,105.5,,1709.0,159.3,
키움증권,ok,20260730.0,160731.76,256.73,,7889.5,93.23,
LG씨엔에스,ok,20260731.0,15208.28,4.2,,1278.8,-9.2,
코웨이,ok,20260807.0,14422.07,14.6,,2532.06,4.3,
대우건설,ok,20260804.0,20435.0,-10.1,,2323.0,182.6,
SK바이오팜,code_not_found,,,,,,,
HD건설기계,ok,20260729.0,24342.0,151.5,,2489.0,522.3,
유한양행,ok,20260730.0,6140.35,10.4,,614.42,34.7,
LG유플러스,ok,20260806.0,36949.0,-3.9,,3445.0,13.1,
두산밥캣,ok,20260723.0,24479.0,11.2,,2917.0,42.9,
주성엔지니어링,ok,20260729.0,598.82,-24.0,,14.23,-78.4,
한화,ok,20260804.0,10013.36,-11.4,,1132.95,-12.61,
한화솔루션,ok,20260729.0,45826.55,47.01,,3065.34,200.33,
카카오페이,ok,20260804.0,3350.79,40.6,,586.03,528.2,
삼성카드,ok,20260727.0,11775.0,-6.3,,2086.0,4.1,
오리온,ok,20260807.0,,,,,,
JB금융지주,ok,20260723.0,3974.85,19.2,,1383.08,47.8,
대한전선,ok,20260730.0,11986.67,30.81,,608.42,113.01,
대덕전자,ok,20260731.0,4009.75,63.1,,702.76,3666.0,
OCI홀딩스,ok,20260723.0,10231.83,31.8,,1080.62,,흑자전환
한미약품,ok,20260728.0,4672.47,29.3,,1310.93,116.9,
LG생활건강,ok,20260729.0,16574.0,3.3,,1028.0,87.5,
LG디스플레이,ok,20260722.0,56120.63,0.0,,-1077.28,7.0,
산일전기,ok,20260807.0,1641.79,28.0,,620.35,34.3,
BNK금융지주,ok,20260728.0,35972.62,38.3,,2356.54,-7.9,
두산로보틱스,ok,20260724.0,176.74,290.0,,-144.17,7.9,
가온전선,ok,20260720.0,8693.9,35.1,,361.32,55.5,
원익IPS,ok,20260806.0,2164.72,-10.61,,183.83,-49.57,
심텍,ok,20260805.0,5145.65,51.0,,628.9,1034.4,
SKC,ok,20260727.0,6454.0,38.3,,-144.0,79.0,
신세계,ok,20260709.0,1741.17,14.87,,,,
파마리서치,ok,20260807.0,1787.05,27.1,,664.7,19.0,
한전기술,ok,20260807.0,1032.84,-2.7,,29.93,685.7,흑자전환
KCC,code_not_found,,,,,,,
현대제철,ok,20260803.0,61073.0,2.7,,577.0,-43.3,
한온시스템,ok,20260731.0,28752.48,0.6,,1036.84,61.2,
엘앤에프,ok,20260806.0,8850.44,70.2,,208.29,,흑자전환
DB하이텍,ok,20260805.0,4144.5,22.83,,1052.33,42.51,
한화엔진,ok,20260731.0,3622.2,-6.6,,379.11,12.2,
휴젤,ok,20260806.0,1379.03,25.1,,560.3,-1.1,
넷마블,ok,20260805.0,7492.0,4.4,,801.0,-20.8,
한국가스공사,ok,20260810.0,,,,,,
금호석유화학,ok,20260807.0,22681.52,27.9,,3389.98,419.7,
팬오션,ok,20260731.0,19137.0,47.9,,1937.0,57.4,
포스코DX,ok,20260730.0,2325.81,-14.8,,98.61,-42.3,
강원랜드,ok,20260804.0,3455.51,-4.2,,431.8,-26.2,
한미사이언스,ok,20260728.0,3678.56,8.7,,591.38,70.9,
에스원,ok,20260731.0,7231.28,-1.3,,643.94,4.61,
SK바이오사이언스,ok,20260810.0,1557.05,-3.8,,-157.38,57.9,
파두,ok,20260720.0,731.55,208.9,,162.67,,흑자전환
iM금융지주,ok,20260727.0,41719.61,83.6,,1827.38,-8.0,
한올바이오파마,ok,20260729.0,442.76,8.8,,55.98,388.5,
롯데쇼핑,ok,20260807.0,34850.28,4.0,,899.09,121.2,
DL이앤씨,ok,20260730.0,18029.23,-9.47,,1594.28,26.32,
ISC,ok,20260727.0,729.29,41.2,,213.21,55.5,
GS건설,ok,20260729.0,27799.08,-13.02,,913.54,-43.63,
효성,ok,20260731.0,7336.37,21.9,,2316.39,133.7,
