종목명,연도,분기,매출액,영업이익,영업이익률
로보티즈,2023,Q1,7311801466.0,-1552517419.0,-0.21233035746651932
로보티즈,2023,Q2,6464398549.0,-1693455888.0,-0.2619665039467541
로보티즈,2023,Q3,6581051229.0,-1515250687.0,-0.23024447527819114
로보티즈,2023,Q4,8770698244.0,-537572753.0,-0.06129189923593043
로보티즈,2024,Q1,8337814165.0,-923787201.0,-0.11079488972995118
로보티즈,2024,Q2,8091981653.0,86653088.0,0.010708512663010606
로보티즈,2024,Q3,6836117951.0,-1402917153.0,-0.20522132050029632
로보티즈,2024,Q4,6772317284.0,-733452678.0,-0.10830158234506014
로보티즈,2025,Q1,10223377207.0,826026453.0,0.08079780646599007
로보티즈,2025,Q2,7877483576.0,240743602.0,0.03056097796680446
로보티즈,2025,Q3,9240449140.0,224268003.0,0.024270249162369178
로보티즈,2025,Q4,11601237083.0,2055000597.0,0.17713633315979013
로보티즈,2026,Q1,11841337017.0,-11843301537.0,-1.0001659035628476
토모큐브,2025,Q1,652923895.0,-3011563031.0,-4.612425818785511
토모큐브,2025,Q2,3142522516.0,-1126348661.0,-0.35842182681754886
토모큐브,2025,Q3,2522235196.0,-1829261516.0,-0.7252541392258012
토모큐브,2025,Q4,4989044713.0,398294120.0,0.07983374431625384
토모큐브,2026,Q1,2746008772.0,-1865014595.0,-0.6791728467938047
SFA반도체,2023,Q1,117200207676.0,-1029326219.0,-0.008782631357152307
SFA반도체,2023,Q2,127678630186.0,820133731.0,0.006423422069967727
SFA반도체,2023,Q3,95797469890.0,-10770167045.0,-0.11242642480398393
SFA반도체,2023,Q4,96909769403.0,-5730760805.0,-0.059135016420982164
SFA반도체,2024,Q1,122062971879.0,2462901925.0,0.020177305919123895
SFA반도체,2024,Q2,111350986982.0,476179823.0,0.004276386190245219
SFA반도체,2024,Q3,95086984023.0,252987691.0,0.002660592231412097
SFA반도체,2024,Q4,81372539264.0,-5606000383.0,-0.06889302501440002
SFA반도체,2025,Q1,75259068618.0,-6014134522.0,-0.07991242294701448
SFA반도체,2025,Q2,76104471137.0,-6721677481.0,-0.08832171593308788
SFA반도체,2025,Q3,96471790664.0,-6300778484.0,-0.06531213363650393
SFA반도체,2025,Q4,119553817574.0,-590080688.0,-0.00493569088778582
SFA반도체,2026,Q1,107319289328.0,-6177693323.0,-0.057563680878645336
케이엠더블유,2026,Q1,21485161100.0,-5732425929.0,-0.2668086081514185
덕산테코피아,2023,Q1,23562610339.0,-102057896.0,-0.004331349308572887
덕산테코피아,2023,Q2,27125235486.0,938298331.0,0.034591343234025705
덕산테코피아,2023,Q3,20781062104.0,-2850813851.0,-0.1371832602555606
덕산테코피아,2023,Q4,22607804345.0,-4210901005.0,-0.18625873352143077
덕산테코피아,2024,Q1,29767723776.0,-4909435476.0,-0.1649247860851959
덕산테코피아,2024,Q2,23528213895.0,-5882494535.0,-0.2500187460574767
덕산테코피아,2024,Q3,26139007303.0,-6091363653.0,-0.23303729871565887
덕산테코피아,2024,Q4,20259486538.0,-13336171400.0,-0.6582679859623203
덕산테코피아,2025,Q1,24249143082.0,-9730032827.0,-0.40125264608721567
덕산테코피아,2025,Q2,28966831580.0,-8714319572.0,-0.30083785822184145
덕산테코피아,2025,Q3,30053402558.0,-14859174755.0,-0.494425705253284
덕산테코피아,2025,Q4,28809577263.0,-9722883319.0,-0.3374878857208034
덕산테코피아,2026,Q1,39140413521.0,-10382543408.0,-0.26526401930908206
그래피,2025,Q2,4379887082.0,-2523231579.0,-0.5760951211207503
그래피,2025,Q3,3439580460.0,-3720285344.0,-1.0816102101010308
그래피,2025,Q4,10439746692.0,-1174345170.0,-0.11248789885868622
그래피,2026,Q1,3353346585.0,-3188953777.0,-0.9509764935317594
SK케미칼,2023,Q1,364455538506.0,8647616626.0,0.02372749406264719
SK케미칼,2023,Q2,371335160733.0,-13847134940.0,-0.03729012602164131
SK케미칼,2023,Q3,581438774246.0,83359268976.0,0.14336723429581885
