code,name,sector,latest_date,latest_mult,hist_min_mult,hist_min_date,hist_max_mult,hist_max_date,percentile,n_obs,latest_mktcap
A095270,웨이브일렉트로,우주항공과국방,2026-09-11,-6928.56,12.61,2024-09-25,435.13,2025-06-02,0.0,605,58280106330
A025980,아난티,"호텔,레스토랑,레저",2026-09-11,-632.12,1.1,2022-10-13,693.28,2025-01-24,0.0,2549,522506316300
A217270,넵튠,게임엔터테인먼트,2026-09-11,-485.98,23.03,2024-12-23,3131.81,2021-04-08,0.0,670,120577958940
A053160,프리엠스,기계,2026-09-11,-467.43,9.12,2014-12-30,1009.94,2021-04-22,0.0,1964,61560000000
A440320,오픈놀,디스플레이패널,2026-09-11,-463.64,30.48,2024-12-03,910.33,2025-03-06,0.0,421,22455000000
A007390,네이처셀,생물공학,2026-09-11,-439.73,78.11,2019-08-29,3134.28,2025-03-27,0.0,427,1617319905600
A408470,한패스,IT서비스,2026-09-11,-410.97,11.74,2026-06-26,42.55,2026-04-06,0.0,66,53917200000
A090360,로보스타,기계,2026-09-11,-402.17,5.33,2016-09-12,1992.06,2025-01-31,0.0,1840,760500000000
A083640,인콘,전자장비와기기,2026-09-11,-400.96,7.74,2025-04-07,807.13,2020-12-18,0.0,1834,24955718841
A011390,부산산업,건축자재,2026-09-11,-306.13,2.7,2016-01-21,1657.8,2022-04-26,0.0,2642,53750400000
A078130,국일제지,종이와목재,2026-09-11,-304.93,28.29,2014-12-30,231585.01,2020-12-18,0.0,1347,390082431020
A029530,신도리코,사무용전자제품,2026-09-11,-301.66,10.68,2024-01-17,269.75,2021-06-04,0.0,2387,379399217450
A066980,한성크린텍,건설,2026-09-11,-289.15,4.42,2022-10-13,922.95,2021-04-09,0.0,1971,80818118109
A005800,신영와코루,"섬유,의류,신발,호화품",2026-09-11,-287.19,11.81,2022-12-28,966.67,2019-07-04,0.0,2698,122220000000
A024060,흥구석유,석유와가스,2026-09-11,-281.82,27.06,2015-01-06,6656.71,2024-10-04,0.0,2029,219150000000
A076610,해성옵틱스,핸드셋,2026-09-11,-276.44,2.95,2019-08-06,94.69,2020-02-19,0.0,1120,73985988820
A256630,포인트엔지니어링,디스플레이장비및부품,2026-09-11,-263.68,6.42,2020-03-19,527.13,2025-10-20,0.0,1049,49993474340
A008830,대동기어,기계,2026-09-11,-258.22,4.59,2021-04-02,1444.08,2026-02-10,0.0,2265,122764262400
A032820,우리기술,우주항공과국방,2026-09-11,-250.23,4.9,2017-10-16,677.04,2025-02-18,0.0,1711,2427623798600
A011690,와이투솔루션,전자장비와기기,2026-09-11,-243.71,6.87,2024-07-02,652.91,2023-07-03,0.0,1104,117986519830
A117670,알파칩스,반도체와반도체장비,2026-09-11,-235.67,7.27,2015-08-24,99.89,2016-09-12,0.0,616,90466456360
A466100,클로봇,기계,2026-09-11,-224.99,34.1,2025-08-14,115.75,2025-06-24,0.0,63,733603614300
