종목명,시가총액(억원),2026_영업이익(십억원),2027_영업이익(십억원),영업이익_증가율
로보티즈,33647.1,0.1,21.1,251.8
토모큐브,4986.2,0.1,11.1,110.0
SFA반도체,8214.8,1.0,87.0,86.0
케이엠더블유,6986.9,1.6,111.9,68.9375
덕산테코피아,2252.4,1.2,37.2,30.0
그래피,2109.9,0.3,8.3,26.6667
벡트,456.5,0.1,2.3,22.0
SK케미칼,7550.9,7.8,115.4,13.7006
쎄크,512.8,0.9,9.4,9.4444
신성에스티,1789.0,3.0,26.0,7.6667
와이랩,345.8,0.4,3.1,6.75
필옵틱스,5954.3,4.3,33.0,6.6744
심플랫폼,294.6,0.5,3.8,6.6
대교,892.4,0.3,2.2,6.3333
사피엔반도체,2229.0,2.4,16.8,6.1489
아이티엠반도체,1898.6,3.8,26.2,5.8947
에스투더블유,1198.4,1.3,8.9,5.8462
제주항공,3552.2,9.0,60.6,5.7317
엔비알모션,621.0,1.5,9.9,5.6
엠로,1975.6,1.6,10.3,5.4375
동운아나텍,6555.3,1.5,9.6,5.4
삼천당제약,38634.5,45.0,281.0,5.2444
인텍플러스,3822.5,6.5,38.6,4.9462
삼아알미늄,7138.3,7.4,41.9,4.6622
루미르,1101.1,1.9,10.3,4.4211
한올바이오파마,28262.2,1.9,10.4,4.3793
오이솔루션,3286.3,4.1,22.0,4.3659
오로스테크놀로지,1272.9,5.0,26.8,4.36
넥스트칩,675.8,4.4,22.5,4.1136
LG에너지솔루션,842400.0,825.4,3851.4,3.666
동국S&C,858.9,2.0,9.0,3.5
삼성SDI,369887.6,323.1,1422.5,3.4024
아스테라시스,2306.6,4.5,19.3,3.3371
오스코텍,13371.2,34.0,138.0,3.0588
아크릴,1304.9,1.8,6.8,2.7778
모두투어,1685.9,5.1,18.7,2.6667
세경하이테크,1105.4,8.3,30.4,2.6407
금양그린파워,949.0,3.0,10.8,2.6
HEM파마,3039.3,11.8,41.5,2.5169
비나텍,4789.3,6.2,21.6,2.4839
율촌화학,3680.3,13.1,45.4,2.4656
코스모신소재,12139.9,15.7,52.5,2.3408
아모텍,1797.3,9.2,29.8,2.2568
스피어,11882.6,17.4,56.4,2.2478
바이오다인,2464.5,4.8,15.5,2.2292
