종목명,기준일,수주잔고(억원)
토모큐브,20260514,35.5
토모큐브,20260320,14.2
토모큐브,20251114,25.4
토모큐브,20250814,17.3
SK케미칼,20260513,8279.2
SK케미칼,20251113,7206.6
SK케미칼,20250813,8041.2
SK케미칼,20250514,8827.4
SK케미칼,20241114,1076.0
쎄크,20260515,539.3
쎄크,20260323,385.4
쎄크,20251114,508.8
쎄크,20250814,529.4
쎄크,20250530,585.2
필옵틱스,20260514,1110.4
필옵틱스,20251114,1014.4
필옵틱스,20250813,920.0
필옵틱스,20250515,1212.2
필옵틱스,20241112,2885.3
필옵틱스,20240814,3350.8
심플랫폼,20260515,764.4
심플랫폼,20251114,7910.2
인텍플러스,20260515,609.6
인텍플러스,20251114,815.0
인텍플러스,20250814,704.2
인텍플러스,20250515,717.0
인텍플러스,20241114,815.9
인텍플러스,20240814,810.3
오이솔루션,20260515,240.2
오이솔루션,20260319,190.9
오이솔루션,20251114,199.8
오이솔루션,20250814,203.5
오이솔루션,20250514,235.0
오이솔루션,20241114,146.1
오이솔루션,20240814,113.8
동국S&C,20260514,657.4
동국S&C,20260316,642.0
동국S&C,20251113,603730.9
동국S&C,20250814,875.6
동국S&C,20250514,1151.9
동국S&C,20250317,1533.8
동국S&C,20241113,1502.0
동국S&C,20240813,1452.6
아크릴,20260515,141.7
코스모신소재,20260515,25.0
코스모신소재,20251114,25.0
코스모신소재,20250813,25.0
코스모신소재,20250514,11.2
코스모신소재,20241114,20.0
코스모신소재,20240813,29.1
LS마린솔루션,20260515,71.5
LS마린솔루션,20260316,82.6
LS마린솔루션,20251114,67.6
LS마린솔루션,20250814,63.1
LS마린솔루션,20250515,61.4
LS마린솔루션,20250317,52.9
LS마린솔루션,20241114,0.1
LS마린솔루션,20240813,0.1
레인보우로보틱스,20260515,15997.7
레인보우로보틱스,20251114,13593.4
레인보우로보틱스,20250814,12719.9
레인보우로보틱스,20250515,12336.5
레인보우로보틱스,20250321,11910.9
레인보우로보틱스,20241114,10243.0
레인보우로보틱스,20240814,9699.3
유니테스트,20260515,268.7
유니테스트,20251114,268.7
유니테스트,20250515,772.4
유니테스트,20241114,772.4
유니테스트,20240814,772.4
제노코,20260515,5.0
제노코,20260318,207.6
제노코,20251114,180.6
제노코,20250814,85.8
제노코,20250515,41.9
제노코,20241114,110.9
제노코,20240814,59.2
주성엔지니어링,20260514,746.6
주성엔지니어링,20251112,1104.3
주성엔지니어링,20250813,1179.0
주성엔지니어링,20250515,1496.0
주성엔지니어링,20241114,2166.0
주성엔지니어링,20240814,2196.4
세아제강지주,20260515,5164.5
세아제강지주,20251114,931.5
세아제강지주,20250814,1542.1
세아제강지주,20250515,2765.5
세아제강지주,20250317,283.1
세아제강지주,20241114,289.4
세아제강지주,20240814,393.0
뷰노,20260515,0.2
뷰노,20260318,0.4
뷰노,20251112,0.4
뷰노,20250813,3.5
뷰노,20250513,6.2
뷰노,20250320,6.9
뷰노,20241112,9.6
뷰노,20240813,10.1
핑거,20260515,399.9
핑거,20251114,248.2
핑거,20250814,350.7
핑거,20250515,372.8
핑거,20241114,187.2
핑거,20240814,276.2
쎄트렉아이,20260513,56.9
쎄트렉아이,20251113,40.9
쎄트렉아이,20250811,44.6
쎄트렉아이,20250515,47.5
쎄트렉아이,20241112,54.2
쎄트렉아이,20240812,39.4
가온전선,20260515,2653.5
가온전선,20251114,1531.7
가온전선,20250814,1683.1
가온전선,20250515,712.8
가온전선,20241114,1909.9
가온전선,20240814,1765.6
자이에스앤디,20260515,14346.8
자이에스앤디,20251114,8888.9
자이에스앤디,20250814,10702.8
자이에스앤디,20250515,8934.7
자이에스앤디,20241114,12036.8
자이에스앤디,20240814,8278.4
도우인시스,20260513,268.3
도우인시스,20251114,996.0
도우인시스,20250829,698.2
한중엔시에스,20260514,547.3
한중엔시에스,20251114,589.6
한중엔시에스,20250814,486.0
한중엔시에스,20250514,425.2
한중엔시에스,20241114,483.6
한중엔시에스,20240813,365.5
대한항공,20260515,1561.6
대한항공,20260318,5865.5
대한항공,20251114,4296.3
대한항공,20250814,2824.2
대한항공,20250515,1400.8
대한항공,20241114,4136.5
대한항공,20240814,2737.4
하이비젼시스템,20260515,2196.6
하이비젼시스템,20260319,1264.4
하이비젼시스템,20251114,1000.0
하이비젼시스템,20250814,1414.8
하이비젼시스템,20250515,1680.4
하이비젼시스템,20250320,1479.0
하이비젼시스템,20241114,1842.9
