종목명,기준일,수주잔고(백만원),report_nm
HD현대중공업,20260515,62170777.0,분기보고서 (2026.03)
한화오션,20260513,35374442.0,분기보고서 (2026.03)
고려아연,20260515,2916130.0,분기보고서 (2026.03)
POSCO홀딩스,20260515,48279896.0,분기보고서 (2026.03)
삼성중공업,20260515,29519700.0,분기보고서 (2026.03)
삼성에스디에스,20260515,1422500.0,분기보고서 (2026.03)
HD현대,20260515,1287244.0,분기보고서 (2026.03)
LIG디펜스앤에어로스페이스,20260515,39078.0,분기보고서 (2026.03)
LG,20260515,4065203.0,분기보고서 (2026.03)
포스코퓨처엠,20260515,36130.0,분기보고서 (2026.03)
한화시스템,20260513,12196397.0,분기보고서 (2026.03)
LG이노텍,20260514,2293333.0,분기보고서 (2026.03)
한국항공우주,20260515,26553200.0,분기보고서 (2026.03)
현대건설,20260515,92323700.0,분기보고서 (2026.03)
현대오토에버,20260515,1120000.0,분기보고서 (2026.03)
에코프로,20260515,89753.0,분기보고서 (2026.03)
GS,20260515,526356.0,분기보고서 (2026.03)
대한항공,20260515,63800.0,분기보고서 (2026.03)
HD현대마린솔루션,20260515,224108.0,분기보고서 (2026.03)
이수페타시스,20260515,573743.0,분기보고서 (2026.03)
LG씨엔에스,20260515,4065203.0,분기보고서 (2026.03)
주성엔지니어링,20260514,74658.0,분기보고서 (2026.03)
대덕전자,20260514,237400.0,분기보고서 (2026.03)
HLB,20260515,15920.0,분기보고서 (2026.03)
가온전선,20260515,265349.0,분기보고서 (2026.03)
엘앤에프,20260515,23457270.748,분기보고서 (2026.03)
원익IPS,20260515,400388.0,분기보고서 (2026.03)
한화엔진,20260514,5243000.0,분기보고서 (2026.03)
CJ,20260515,238739.0,분기보고서 (2026.03)
포스코DX,20260515,960198.0,분기보고서 (2026.03)
GS건설,20260514,17804792.0,분기보고서 (2026.03)
SK바이오사이언스,20260513,827917.0,분기보고서 (2026.03)
현대엘리베이터,20260515,2240777.0,분기보고서 (2026.03)
한화비전,20260513,15476.0,분기보고서 (2026.03)
DL이앤씨,20260515,7952141.0,분기보고서 (2026.03)
현대무벡스,20260515,367420.774,분기보고서 (2026.03)
HL만도,20260515,983729.0,분기보고서 (2026.03)
테스,20260513,145538.0,분기보고서 (2026.03)
티에스이,20260515,95625.0,분기보고서 (2026.03)
이마트,20260514,59841.0,분기보고서 (2026.03)
SK이터닉스,20260514,455070.0,분기보고서 (2026.03)
HD현대마린엔진,20260515,334357.0,분기보고서 (2026.03)
대한광통신,20260515,83283.0,분기보고서 (2026.03)
파크시스템스,20260514,87133.0,분기보고서 (2026.03)
테크윙,20260515,48576.0,분기보고서 (2026.03)
LS마린솔루션,20260515,715300.0,분기보고서 (2026.03)
HJ중공업,20260515,2285800.0,분기보고서 (2026.03)
비에이치아이,20260515,2400044.0,분기보고서 (2026.03)
코리아써키트,20260515,157254.0,분기보고서 (2026.03)
원익홀딩스,20260515,448394.0,분기보고서 (2026.03)
아시아나항공,20260514,137000.0,분기보고서 (2026.03)
기가비스,20260515,19109.0,분기보고서 (2026.03)
제이에스링크,20260515,7181.62,분기보고서 (2026.03)
코스모신소재,20260515,250400.0,분기보고서 (2026.03)
RFHIC,20260515,188133.655,분기보고서 (2026.03)
HDC,20260515,589570.0,분기보고서 (2026.03)
대원전선,20260508,53787.0,분기보고서 (2026.03)
DL,20260515,7952141.0,분기보고서 (2026.03)
STX엔진,20260515,2010200.0,분기보고서 (2026.03)
SGC에너지,20260515,2219407.0,분기보고서 (2026.03)
GST,20260511,116300.0,분기보고서 (2026.03)
SK디스커버리,20260515,827917.0,분기보고서 (2026.03)
한샘,20260514,237302.0,분기보고서 (2026.03)
CJ CGV,20260515,238739.0,분기보고서 (2026.03)
SK오션플랜트,20260515,1222454.0,분기보고서 (2026.03)
SK케미칼,20260513,827917.0,분기보고서 (2026.03)
유일로보틱스,20260515,5925.0,분기보고서 (2026.03)
덕산네오룩스,20260515,336403.0,분기보고서 (2026.03)
쎄트렉아이,20260513,569000.0,분기보고서 (2026.03)
SNT홀딩스,20260512,0.0,분기보고서 (2026.03)
SFA,20260515,37630.0,분기보고서 (2026.03)
와이씨,20260515,150660.0,분기보고서 (2026.03)
디아이,20260515,230255.0,분기보고서 (2026.03)
제룡전기,20260513,153251.0,분기보고서 (2026.03)
큐리옥스바이오시스템즈,20260515,2913.0,분기보고서 (2026.03)
영풍,20260515,142321.0,분기보고서 (2026.03)
선익시스템,20260515,582273.0,분기보고서 (2026.03)
넥센타이어,20260515,888605.0,분기보고서 (2026.03)
태웅,20260515,19.0,분기보고서 (2026.03)
코미팜,20260514,12480.962,분기보고서 (2026.03)
에이치브이엠,20260515,48593.0,분기보고서 (2026.03)
필옵틱스,20260514,111039.0,분기보고서 (2026.03)
SFA넥셀,20260512,17869.726,분기보고서 (2026.03)
비에이치,20260515,16801.192,분기보고서 (2026.03)
세미파이브,20260515,758.468,분기보고서 (2026.03)
KG스틸,20260515,12117.0,분기보고서 (2026.03)
아이티센글로벌,20260514,16671.0,분기보고서 (2026.03)
한양이엔지,20260514,684444.0,분기보고서 (2026.03)
가온칩스,20260515,50267.0,분기보고서 (2026.03)
마키나락스,20260528,15191.904,분기보고서 (2026.03)
현대힘스,20260514,57628.0,분기보고서 (2026.03)
동성화인텍,20260514,2076400.0,분기보고서 (2026.03)
토모큐브,20260514,3555.0,분기보고서 (2026.03)
에코프로에이치엔,20260515,89753.0,분기보고서 (2026.03)
대덕,20260515,237400.0,분기보고서 (2026.03)
NICE,20260515,18868.0,분기보고서 (2026.03)
아이쓰리시스템,20260513,105.094,분기보고서 (2026.03)
농심홀딩스,20260515,212670.0,분기보고서 (2026.03)
노타,20260515,130.0,분기보고서 (2026.03)
덕산하이메탈,20260515,56900.0,분기보고서 (2026.03)
세아제강지주,20260515,516454.0,분기보고서 (2026.03)
인벤티지랩,20260601,642.0,분기보고서 (2026.03)
엠케이전자,20260515,56457.983,분기보고서 (2026.03)
코스모화학,20260515,250400.0,분기보고서 (2026.03)
파이버프로,20260511,55707.0,분기보고서 (2026.03)
세아제강,20260515,99347.0,분기보고서 (2026.03)
자이에스앤디,20260515,1434680.0,분기보고서 (2026.03)
한국피아이엠,20260515,39492.025,분기보고서 (2026.03)
한솔테크닉스,20260513,8137.0,분기보고서 (2026.03)
인텍플러스,20260515,60964.0,분기보고서 (2026.03)
엘티씨,20260514,17764.0,분기보고서 (2026.03)
HLB이노베이션,20260515,4727.023,분기보고서 (2026.03)
HL홀딩스,20260515,983729.0,분기보고서 (2026.03)
빛과전자,20260515,3094.0,분기보고서 (2026.03)
인화정공,20260515,81670.0,분기보고서 (2026.03)
오이솔루션,20260515,24023.0,분기보고서 (2026.03)
에스티아이,20260515,233963.325,분기보고서 (2026.03)
티로보틱스,20260515,458.0,분기보고서 (2026.03)
코오롱,20260515,11488872.0,분기보고서 (2026.03)
넥스틴,20260515,7736.0,분기보고서 (2026.03)
SIMPAC,20260515,42471.0,분기보고서 (2026.03)
진성티이씨,20260515,390515.0,분기보고서 (2026.03)
한중엔시에스,20260514,54732.0,분기보고서 (2026.03)
퍼스텍,20260515,997934.0,분기보고서 (2026.03)
남해화학,20260515,212854.0,분기보고서 (2026.03)
한라IMS,20260514,244897.0,분기보고서 (2026.03)
AP시스템,20260515,186441.0,분기보고서 (2026.03)
디아이티,20260515,81051.0,분기보고서 (2026.03)
셀바스AI,20260515,2739.0,분기보고서 (2026.03)
KG에코솔루션,20260515,12117.0,분기보고서 (2026.03)
한텍,20260515,181641.0,분기보고서 (2026.03)
스맥,20260515,70885.0,분기보고서 (2026.03)
제우스,20260515,343476.0,분기보고서 (2026.03)
엔케이젠바이오텍코리아,20260515,1506344.295,분기보고서 (2026.03)
케이프,20260515,44594.0,분기보고서 (2026.03)
우진,20260515,82860.463,분기보고서 (2026.03)
디아이씨,20260514,165174.0,분기보고서 (2026.03)
비츠로넥스텍,20260515,65735.0,분기보고서 (2026.03)
한국공항,20260515,156159.0,분기보고서 (2026.03)
아스플로,20260511,28314.727,분기보고서 (2026.03)
강원에너지,20260515,87967.0,분기보고서 (2026.03)
리파인,20260515,15028.805,분기보고서 (2026.03)
이노스페이스,20260513,8148.0,분기보고서 (2026.03)
유니슨,20260515,105108.0,분기보고서 (2026.03)
씨메스로보틱스,20260514,9245.848,분기보고서 (2026.03)
삼영,20260514,24733.0,분기보고서 (2026.03)
유니셈,20260515,49197.99,분기보고서 (2026.03)
바이넥스,20260515,54212.255,분기보고서 (2026.03)
필에너지,20260514,81832.0,분기보고서 (2026.03)
노루홀딩스,20260515,59021.0,분기보고서 (2026.03)
비츠로테크,20260515,69234.0,분기보고서 (2026.03)
아이씨티케이,20260515,12180.535,분기보고서 (2026.03)
GS글로벌,20260514,7779.0,분기보고서 (2026.03)
에스엔시스,20260515,264199.0,분기보고서 (2026.03)
페니트리움바이오,20260515,40632.689,분기보고서 (2026.03)
아스트,20260515,259.209,분기보고서 (2026.03)
오리엔탈정공,20260508,307168.0,분기보고서 (2026.03)
옵티코어,20260515,2819.0,분기보고서 (2026.03)
삼목에스폼,20260515,52340.0,분기보고서 (2026.03)
에치에프알,20260515,400.0,분기보고서 (2026.03)
해성산업,20260515,16998.0,분기보고서 (2026.03)
엑시콘,20260515,31886.0,분기보고서 (2026.03)
에이직랜드,20260515,87824.0,분기보고서 (2026.03)
HDC랩스,20260515,589570.0,분기보고서 (2026.03)
엠로,20260515,79103.451,분기보고서 (2026.03)
KZ정밀,20260515,53570.0,분기보고서 (2026.03)
한미글로벌,20260515,1017.691,분기보고서 (2026.03)
코난테크놀로지,20260515,27.0,분기보고서 (2026.03)
도우인시스,20260513,26829.0,분기보고서 (2026.03)
동성케미컬,20260514,2076400.0,분기보고서 (2026.03)
유니테스트,20260515,26867.0,분기보고서 (2026.03)
대아티아이,20260514,443795.68,분기보고서 (2026.03)
HLB테라퓨틱스,20260515,3926.0,분기보고서 (2026.03)
HB테크놀러지,20260515,39876.0,분기보고서 (2026.03)
일진파워,20260513,23512.0,분기보고서 (2026.03)
지어소프트,20260514,4426.0,분기보고서 (2026.03)
앤로보틱스,20260515,5516.0,분기보고서 (2026.03)
모베이스전자,20260514,27390.0,분기보고서 (2026.03)
유니퀘스트,20260515,128768.0,분기보고서 (2026.03)
대창단조,20260514,36079.079,분기보고서 (2026.03)
대양전기공업,20260515,328513.0,분기보고서 (2026.03)
아바코,20260513,504638.0,분기보고서 (2026.03)
제일일렉트릭,20260515,81137.0,분기보고서 (2026.03)
에이치엠넥스,20260515,237.0,분기보고서 (2026.03)
노루페인트,20260515,59021.0,분기보고서 (2026.03)
인터플렉스,20260515,10414.0,분기보고서 (2026.03)
피델릭스,20260511,49666.0,분기보고서 (2026.03)
오르비텍,20260515,7869.0,분기보고서 (2026.03)
하이비젼시스템,20260515,219664.0,분기보고서 (2026.03)
유비쿼스홀딩스,20260515,103021.0,분기보고서 (2026.03)
아이엘,20260513,86817.339,분기보고서 (2026.03)
케이엔알시스템,20260515,18384.0,분기보고서 (2026.03)
삼화전기,20260515,31545.0,분기보고서 (2026.03)
에스오에스랩,20260515,596.0,분기보고서 (2026.03)
삼미금속,20260514,2639.0,분기보고서 (2026.03)
유비쿼스,20260515,103021.0,분기보고서 (2026.03)
하나제약,20260515,55524.0,분기보고서 (2026.03)
우양에이치씨,20260514,79953.0,분기보고서 (2026.03)
멀티캠퍼스,20260515,44556.0,분기보고서 (2026.03)
이구산업,20260515,35859.0,분기보고서 (2026.03)
윤성에프앤씨,20260515,209671.0,분기보고서 (2026.03)
엘오티베큠,20260515,38131.0,분기보고서 (2026.03)
지앤비에스 에코,20260429,41755.0,분기보고서 (2026.03)
슈프리마에이치큐,20260513,2098.0,분기보고서 (2026.03)
자람테크놀로지,20260515,5185.0,분기보고서 (2026.03)
티움바이오,20260515,24583.961,분기보고서 (2026.03)
제이엘케이,20260515,250.0,분기보고서 (2026.03)
동국산업,20260515,65738.0,분기보고서 (2026.03)
에스텍,20260515,110834.0,분기보고서 (2026.03)
한솔홀딩스,20260514,313650.0,분기보고서 (2026.03)
범한퓨얼셀,20260515,57502.0,분기보고서 (2026.03)
네오오토,20260515,1017701.0,분기보고서 (2026.03)
마크로젠,20260515,18663.869,분기보고서 (2026.03)
라이콤,20260515,10726.0,분기보고서 (2026.03)
아크릴,20260515,14174.0,분기보고서 (2026.03)
금강공업,20260515,37342.0,분기보고서 (2026.03)
알에스오토메이션,20260515,19365.0,분기보고서 (2026.03)
제노코,20260515,500.0,분기보고서 (2026.03)
코맥스,20260515,74367.0,분기보고서 (2026.03)
HB솔루션,20260515,18319.0,분기보고서 (2026.03)
씨앤지하이테크,20260515,19455.0,분기보고서 (2026.03)
상상인,20260515,29802.0,분기보고서 (2026.03)
일승,20260514,40455.0,분기보고서 (2026.03)
화승코퍼레이션,20260515,251568.0,분기보고서 (2026.03)
라온로보틱스,20260514,29322.0,분기보고서 (2026.03)
현대리바트,20260515,128148.0,분기보고서 (2026.03)
텔코웨어,20260515,36012.73,분기보고서 (2026.03)
에스투더블유,20260514,11767.0,분기보고서 (2026.03)
엠플러스,20260515,109400.0,분기보고서 (2026.03)
나라스페이스테크놀로지,20260515,19583.035,분기보고서 (2026.03)
톱텍,20260515,152758.0,분기보고서 (2026.03)
성도이엔지,20260515,571515.0,분기보고서 (2026.03)
현대에버다임,20260515,135300.0,분기보고서 (2026.03)
퀄리타스반도체,20260515,5153.0,분기보고서 (2026.03)
세명전기,20260514,23251.0,분기보고서 (2026.03)
피아이이,20260514,6643.0,분기보고서 (2026.03)
SKAI,20260515,715.3,분기보고서 (2026.03)
뷰노,20260515,20.0,분기보고서 (2026.03)
하나기술,20260515,339342.0,분기보고서 (2026.03)
코윈테크,20260515,296373.0,분기보고서 (2026.03)
핑거,20260515,39991.0,분기보고서 (2026.03)
수산세보틱스,20260515,25678.0,분기보고서 (2026.03)
이노테크,20260520,5383055.0,분기보고서 (2026.03)
루미르,20260515,30992.654,분기보고서 (2026.03)
씨이랩,20260513,2578.42,분기보고서 (2026.03)
STX,20260515,85871.0,분기보고서 (2026.03)
케이엔솔,20260515,406460.0,분기보고서 (2026.03)
한국무브넥스,20260515,442840.0,분기보고서 (2026.03)
모나용평,20260515,125178.0,분기보고서 (2026.03)
세아메카닉스,20260514,611910.0,분기보고서 (2026.03)
케이에스피,20260513,92309.0,분기보고서 (2026.03)
비아트론,20260515,26560.573,분기보고서 (2026.03)
아시아나IDT,20260513,137000.0,분기보고서 (2026.03)
야스,20260515,20684.0,분기보고서 (2026.03)
디에스케이,20260515,5399.195,분기보고서 (2026.03)
뉴로핏,20260515,611.26,분기보고서 (2026.03)
에프엔에스테크,20260513,16991.905,분기보고서 (2026.03)
한울소재과학,20260515,258.041,분기보고서 (2026.03)
RF시스템즈,20260515,95518.0,분기보고서 (2026.03)
KC코트렐,20260515,266922.763,분기보고서 (2026.03)
케이씨에스,20260515,1242.331,분기보고서 (2026.03)
아스타,20260515,841.669,분기보고서 (2026.03)
대성하이텍,20260515,67013.759,분기보고서 (2026.03)
황금에스티,20260515,124070.0,분기보고서 (2026.03)
에이럭스,20260515,2593.962,분기보고서 (2026.03)
동아엘텍,20260515,612106.0,분기보고서 (2026.03)
다원시스,20260515,88307.0,분기보고서 (2026.03)
벽산,20260515,124604.0,분기보고서 (2026.03)
HL D&I,20260515,6019653.0,분기보고서 (2026.03)
와이제이링크,20260514,4140.0,분기보고서 (2026.03)
한일사료,20260513,414143.0,분기보고서 (2026.03)
폴라리스AI,20260515,12290.941,분기보고서 (2026.03)
이지케어텍,20260807,55721.0,분기보고서 (2026.06)
디와이피엔에프,20260515,192922.574,분기보고서 (2026.03)
LS티라유텍,20260515,15445.0,분기보고서 (2026.03)
아이크래프트,20260515,26626.0,분기보고서 (2026.03)
로체시스템즈,20260515,55562.188,분기보고서 (2026.03)
큐브엔터,20260515,87009.047,분기보고서 (2026.03)
SK디앤디,20260514,244863.0,분기보고서 (2026.03)
모비스,20260515,6021.678,분기보고서 (2026.03)
위드텍,20260515,24042.0,분기보고서 (2026.03)
웹케시,20260515,4098.0,분기보고서 (2026.03)
동신건설,20260515,246630.3,분기보고서 (2026.03)
삼기에너지솔루션즈,20260515,166559.0,분기보고서 (2026.03)
미래컴퍼니,20260514,43859.0,분기보고서 (2026.03)
세미티에스,20260612,16439.966,분기보고서 (2026.03)
대영포장,20260515,3129.0,분기보고서 (2026.03)
빅텍,20260515,148711.0,분기보고서 (2026.03)
아주스틸,20260515,7580.976,분기보고서 (2026.03)
한빛레이저,20260515,12109.195,분기보고서 (2026.03)
주성코퍼레이션,20260514,51.656,분기보고서 (2026.03)
한국첨단소재,20260515,367.633,분기보고서 (2026.03)
동국S&C,20260514,65738.0,분기보고서 (2026.03)
엔알비,20260515,17161.0,분기보고서 (2026.03)
삼영엠텍,20260514,148097.673,분기보고서 (2026.03)
MDS테크,20260515,9063.0,분기보고서 (2026.03)
드림씨아이에스,20260514,242848.397,분기보고서 (2026.03)
이니텍,20260515,7795.0,분기보고서 (2026.03)
DKME,20260515,39600.0,분기보고서 (2026.03)
인지컨트롤스,20260515,26.0,분기보고서 (2026.03)
제일엠앤에스,20260515,394291.0,분기보고서 (2026.03)
화천기공,20260515,41835.0,분기보고서 (2026.03)
에코플라스틱,20260515,93831.0,분기보고서 (2026.03)
테라젠이텍스,20260515,1113.0,분기보고서 (2026.03)
엠오티,20260515,11364.0,분기보고서 (2026.03)
제닉스로보틱스,20260514,5790.905,분기보고서 (2026.03)
액트로,20260514,16158.0,분기보고서 (2026.03)
오파스넷,20260515,144450.0,분기보고서 (2026.03)
한울반도체,20260508,5020.482,분기보고서 (2026.03)
