종목명,상태,현재PBR,밴드_최저PBR,밴드_최고PBR,밴드내_위치_percentile,관측치수
삼성전자,ok,2.75,0.82,3.05,87.5,40.0
SK하이닉스,ok,6.06,1.42,7.44,85.0,40.0
삼성전자우,code_not_found,,,,,
SK스퀘어,ok,3.45,0.54,3.77,88.2,34.0
LG에너지솔루션,ok,2.87,2.57,5.5,30.0,40.0
현대차,code_not_found,,,,,
삼성바이오로직스,ok,9.16,5.18,9.61,97.5,40.0
KB금융,ok,1.01,0.39,1.06,100.0,34.0
한화에어로스페이스,ok,3.4,1.58,4.8,57.5,40.0
삼성생명,ok,0.6,0.35,0.84,61.8,34.0
기아,ok,0.85,0.69,1.06,62.5,40.0
두산에너빌리티,ok,4.11,0.93,4.9,80.0,40.0
셀트리온,ok,2.34,1.86,7.29,67.5,40.0
현대모비스,ok,0.89,0.47,0.93,95.0,40.0
삼성SDI,ok,1.49,0.7,2.64,65.0,40.0
하나금융지주,ok,0.76,0.36,0.8,100.0,34.0
NAVER,ok,1.02,0.97,1.43,20.0,40.0
LS ELECTRIC,code_not_found,,,,,
삼성화재,code_not_found,,,,,
한화오션,ok,4.24,2.16,8.07,50.0,40.0
효성중공업,ok,10.76,1.38,11.3,90.0,40.0
POSCO홀딩스,ok,0.4,0.32,0.63,42.5,40.0
고려아연,ok,2.2,1.02,3.34,75.0,40.0
한국전력,code_not_found,,,,,
메리츠금융지주,ok,1.76,1.31,1.88,76.5,34.0
HMM,ok,0.73,0.66,0.82,50.0,40.0
SK이노베이션,ok,0.55,0.48,1.08,37.5,40.0
KT&G,code_not_found,,,,,
LG화학,ok,0.41,0.36,0.75,26.5,34.0
삼성중공업,ok,4.32,1.71,6.27,72.5,40.0
SK텔레콤,ok,1.36,0.87,1.42,90.0,40.0
HD현대,ok,0.5,0.21,0.62,70.0,40.0
카카오,ok,1.13,1.07,1.99,7.5,40.0
삼성에스디에스,ok,1.68,1.04,1.76,97.5,40.0
LG,ok,0.51,0.38,0.54,90.0,40.0
알테오젠,ok,35.96,15.16,75.77,40.0,40.0
현대로템,ok,5.15,1.92,9.45,60.0,40.0
현대글로비스,ok,1.46,0.88,1.64,82.5,40.0
S-Oil,ok,1.64,0.73,1.72,97.5,40.0
한국항공우주,ok,7.72,3.09,8.46,87.5,40.0
에이피알,ok,28.6,6.3,30.02,87.1,31.0
포스코퓨처엠,ok,3.19,3.03,11.27,10.0,40.0
KT,code_not_found,,,,,
한화시스템,ok,2.86,1.28,3.89,75.0,40.0
LG이노텍,ok,2.16,0.71,2.27,92.5,40.0
현대건설,ok,1.12,0.32,1.48,85.0,40.0
에코프로,ok,2.51,1.75,6.68,27.5,40.0
현대오토에버,ok,6.39,2.26,6.97,87.5,40.0
크래프톤,ok,1.45,1.38,2.43,15.0,40.0
DB손해보험,ok,0.85,0.56,0.93,73.5,34.0
한국금융지주,ok,0.8,0.39,0.97,76.5,34.0
에코프로비엠,ok,5.38,5.02,15.64,15.0,40.0
NH투자증권,ok,1.01,0.55,1.08,79.4,34.0
삼성에피스홀딩스,ok,1.75,1.55,2.28,33.3,6.0
포스코인터내셔널,ok,1.25,1.1,1.9,50.0,40.0
대한항공,ok,0.88,0.73,0.92,80.0,40.0
LS,ok,1.18,0.4,1.24,92.5,40.0
삼양식품,ok,6.9,2.56,11.48,55.0,40.0
삼성E&A,ok,2.12,0.94,2.22,90.0,40.0
GS,ok,0.46,0.2,0.48,100.0,40.0
레인보우로보틱스,ok,71.38,18.92,96.25,85.0,40.0
한국타이어앤테크놀로지,ok,0.57,0.41,0.67,80.0,40.0
아모레퍼시픽,ok,1.44,1.17,2.0,55.0,40.0
삼성증권,ok,1.02,0.52,1.19,79.4,34.0
하이브,ok,2.17,2.06,4.0,5.0,40.0
한진칼,ok,2.22,1.23,2.35,87.5,40.0
코웨이,ok,1.81,1.32,2.14,77.5,40.0
대우건설,ok,1.88,0.34,1.97,92.5,40.0
SK바이오팜,code_not_found,,,,,
유한양행,ok,2.58,2.14,4.39,32.5,40.0
LG유플러스,ok,0.7,0.48,0.74,77.5,40.0
