종목명,상태,현재PER,밴드_최저PER,밴드_최고PER,밴드내_위치_percentile,관측치수
로보티즈,ok,,625.97,2686.51,,9.0
SFA반도체,ok,58.13,53.52,244.12,7.1,28.0
필옵틱스,ok,,32.38,130.81,,12.0
제주항공,ok,,5.14,27.25,,13.0
삼천당제약,ok,419.18,341.55,3668.14,30.0,10.0
인텍플러스,ok,2100.0,1840.0,3133.33,50.0,4.0
삼아알미늄,ok,,332.34,1758.62,,7.0
한올바이오파마,ok,,351.7,1341.3,,11.0
아스테라시스,ok,29.14,26.94,45.48,33.3,6.0
오스코텍,ok,27.1,21.57,3160.0,21.4,14.0
비나텍,ok,,14.26,243.36,,19.0
SBS,ok,213.09,5.65,326.47,63.2,19.0
E1,ok,2.59,1.87,4.79,10.3,29.0
한진,ok,,10.9,12.03,,11.0
제이앤티씨,ok,,22.46,65.11,,7.0
레인보우로보틱스,ok,7642.86,2400.0,11142.86,77.8,18.0
두산테스나,ok,35.83,13.08,82.27,77.8,18.0
예스티,ok,487.78,24.56,773.33,87.5,16.0
주성엔지니어링,ok,962.16,12.63,1358.11,90.9,22.0
KG모빌리티,ok,8.22,7.93,809.0,25.0,12.0
성일하이텍,ok,,38.73,143.13,,4.0
세아제강지주,ok,36.29,3.3,48.22,96.6,29.0
성호전자,ok,3.44,2.08,30.45,40.9,22.0
쎄트렉아이,ok,73.63,6.88,176.55,79.3,29.0
가온전선,ok,45.71,17.44,69.31,66.7,6.0
자이에스앤디,ok,8.27,3.49,1160.0,53.8,26.0
LIG아큐버,ok,55.97,36.84,91.0,55.6,18.0
오킨스전자,ok,24.31,18.82,1450.0,11.8,17.0
한중엔시에스,ok,56.39,44.24,349.38,23.1,13.0
대한항공,ok,7.46,5.87,7.88,81.8,22.0
네오티스,ok,43.33,7.75,89.32,76.0,25.0
넥스틴,ok,,14.3,77.38,,23.0
현대제철,ok,521.82,9.23,730.0,87.5,8.0
포스코퓨처엠,ok,,3990.2,4941.18,,2.0
알테오젠,ok,143.5,97.61,498.72,47.6,21.0
지엔씨에너지,ok,20.78,3.31,20.78,100.0,25.0
엑시콘,ok,18.11,14.35,113.13,15.4,13.0
테크윙,ok,360.16,90.93,418.75,88.2,17.0
에스티아이,ok,13.02,10.77,30.37,31.0,29.0
나노신소재,ok,81.63,64.96,608.82,23.5,17.0
태광,ok,9.94,5.79,18.65,37.9,29.0
현대힘스,ok,23.33,19.05,51.21,16.7,18.0
아이센스,ok,485.38,145.41,602.56,82.4,17.0
에코프로에이치엔,ok,37.48,18.35,50.55,79.3,29.0
엘티씨,ok,40.09,6.99,91.42,83.3,18.0
상아프론테크,ok,30.89,19.67,63.39,37.9,29.0
에프에스티,ok,,39.81,254.03,,8.0
드림텍,ok,,71.09,6710.0,,8.0
한국항공우주,ok,76.5,42.49,136.3,61.1,18.0
SK오션플랜트,ok,19.35,12.59,70.71,13.8,29.0
제닉,ok,12.37,6.87,25.55,55.6,18.0
OCI홀딩스,ok,,3.78,12.74,,6.0
RF머트리얼즈,ok,2989.29,732.71,3286.86,90.0,10.0
인탑스,ok,21.37,11.78,32.76,34.5,29.0
인텔리안테크,ok,22.79,17.07,183.29,42.9,7.0
CJ ENM,ok,7.79,6.65,39.73,30.0,10.0
유니셈,ok,22.56,11.21,37.7,72.4,29.0
선익시스템,ok,7.44,6.43,56.65,17.6,17.0
