code,name,sector,latest_mktcap,latest_period,latest_is_estimate,latest_yoy,prev_yoy,accel,n_quarters
A000080,하이트진로,음료,1057614853880,202712,True,-53.5,,,13
A000100,유한양행,제약,5528545153100,202712,True,132.4,105.7,26.7,16
A000120,CJ대한통운,항공화물운송과물류,1626520127200,202712,True,-13.7,-4.6,-9.1,16
A000150,두산,복합기업,23853518955000,202712,True,42.2,46.9,-4.7,16
A000210,DL,화학,1081323614400,202612,True,897.5,74.1,823.4,12
A000240,한국앤컴퍼니,자동차부품,2335406904000,202612,True,28.2,-23.7,51.9,12
A000270,기아,자동차,46263940263000,202712,True,-4.2,-4.6,0.4,16
A000370,한화손해보험,손해보험,909396147850,202612,True,-4.8,99.2,-104.0,12
A000640,동아쏘시오홀딩스,제약,626125011000,202612,True,16.6,6.9,9.7,12
A000660,SK하이닉스,반도체와반도체장비,1344105951600000,202712,True,20.2,35.3,-15.1,16
A000720,현대건설,건설,14621011944500,202712,True,45.1,29.4,15.7,16
A000810,삼성화재,손해보험,29244094815000,202612,True,47.7,21.6,26.1,12
A000880,한화,복합기업,7055413073100,202612,True,321.7,33.8,287.9,12
A0008Z0,에스엔시스,조선,219400113000,202712,True,16.7,16.7,0.0,16
A000990,DB하이텍,반도체와반도체장비,5686049651600,202712,True,5.1,12.0,-6.9,16
A001040,CJ,복합기업,3775503541200,202612,True,7.5,10.1,-2.6,12
A001120,LX인터내셔널,무역회사와판매업체,1604664000000,202612,True,110.8,88.1,22.7,12
A001230,동국홀딩스,철강,330453894375,202612,True,148.5,7.4,141.1,12
A001250,GS글로벌,무역회사와판매업체,210873767020,202612,True,14.9,99.9,-85.0,12
A001340,PKC,화학,217935950760,202612,True,8.6,57.2,-48.6,12
A001430,세아베스틸지주,철강,1635312626400,202706,True,15.8,42.2,-26.4,14
A001440,대한전선,전기장비,6193366033600,202712,True,1.8,-3.7,5.5,16
A001450,현대해상,손해보험,4074866350000,202609,True,-52.5,33.0,-85.5,12
A001530,DI동일,"섬유,의류,신발,호화품",525140992350,202606,False,927.1,-56.9,984.0,12
A001680,대상,식품,617427805500,202612,True,76.3,17.2,59.1,12
A001740,SK네트웍스,복합기업,1237664295130,202712,True,9.0,54.6,-45.6,16
A0017J0,세미티에스,반도체와반도체장비,75980623320,202612,True,160.0,,,10
A001800,오리온홀딩스,식품,1434736150200,202612,True,7.8,18.5,-10.7,12
A001820,삼화콘덴서,전기제품,1532223000000,202609,True,306.5,55.1,251.4,12
A001940,KISCO홀딩스,철강,391268088000,202609,True,-94.9,158.4,-253.3,12
A002020,코오롱,복합기업,308493552000,202609,True,47.3,129.4,-82.1,12
A002320,한진,항공화물운송과물류,219898788720,202612,True,58.3,-2.7,61.0,12
A002350,넥센타이어,자동차부품,545963432430,202712,True,-9.5,48.7,-58.2,16
A002380,KCC,건축자재,4017178880000,202712,True,22.4,6.4,16.0,16
A002710,TCC스틸,철강,310894446420,202609,True,-83.5,,,12
A002990,금호건설,건설,492949456020,202712,True,25.7,30.6,-4.9,16
A003030,세아제강지주,철강,445228127500,202612,True,282.1,15.1,267.0,12
A003070,코오롱글로벌,건설,234154662390,202609,True,-10.5,173.6,-184.1,12
A003160,디아이,반도체와반도체장비,984840000000,202612,True,333.2,279.5,53.7,12
A003220,대원제약,제약,175159423230,202612,True,14.5,,,12
A003230,삼양식품,식품,9431334780000,202703,True,3.1,38.3,-35.2,13
A003490,대한항공,항공사,11562127122600,202712,True,117.6,67.0,50.6,16
A003540,대신증권,증권,1263152339000,202612,True,70.9,56.2,14.7,12
A003550,LG,복합기업,17613868466000,202609,True,9.7,92.5,-82.8,12
A003620,KG모빌리티,자동차,508972903680,202612,True,-46.3,533.9,-580.2,12
A003670,포스코퓨처엠,화학,16383893724000,202712,True,108.2,97.0,11.2,16
A003690,코리안리,손해보험,2601333576320,202612,True,22.4,-55.0,77.4,12
A003720,삼영,화학,218960000000,202612,True,50.2,23.0,27.2,12
A003850,보령,제약,708602329820,202609,True,1.2,-6.2,7.4,12
A004000,롯데정밀화학,화학,1127460000000,202712,True,38.3,32.0,6.3,16
A004020,현대제철,철강,4750669946000,202712,True,82.6,90.9,-8.3,16
A004090,한국석유,화학,147124850800,202612,True,50.4,32.5,17.9,12
A004170,신세계,백화점과일반상점,3376652207500,202712,True,22.9,27.8,-4.9,16
A004370,농심,식품,2387436985000,202703,True,1.1,31.8,-30.7,13
A004490,세방전지,자동차부품,821898000000,202612,True,16.9,15.7,1.2,12
A004690,삼천리,가스유틸리티,473294398500,202612,True,112.3,-1.2,113.5,12
A004800,효성,복합기업,2772211399200,202612,True,14.2,5.0,9.2,12
A004990,롯데지주,복합기업,2441762512000,202612,True,-84.2,3.7,-87.9,12
A005070,코스모신소재,화학,1330243568550,202612,True,1226.9,4872.7,-3645.8,12
A005090,SGC에너지,에너지장비및서비스,756489982500,202612,True,136.9,121.8,15.1,12
A005180,빙그레,식품,749784724800,202609,True,30.0,159.9,-129.9,12
A005300,롯데칠성,음료,880566091600,202703,True,3.3,,,13
A005380,현대차,자동차,73349670366000,202712,True,-3.4,-6.4,3.0,16
A005440,현대지에프홀딩스,복합기업,2422676998790,202612,True,51.6,16.8,34.8,12
A005490,POSCO홀딩스,철강,25159184822500,202612,True,5973.6,28.4,5945.2,12
A005500,삼진제약,제약,245887200000,202612,True,82.5,7.4,75.1,12
A005680,삼영전자,전기제품,253600000000,202612,True,1.8,30.5,-28.7,12
A005690,파미셀,화학,755450536260,202612,True,63.2,86.7,-23.5,12
A005810,풍산홀딩스,비철금속,540648450000,202612,True,1168.5,76.5,1092.0,12
A005830,DB손해보험,손해보험,12176514879100,202612,True,-14.4,23.4,-37.8,12
